qa_row_id,group,lesson,screen_id,screen_archetype,french,english_presented,english_kind,scene_context,source_text,communicative_purpose,usage_role,expected_action,item_chunk_ids,sentence_id,payload_id,protected_chunk_boundaries,accepted_alternatives,french_qa_state,duplicate_reuse_locations,founder_verdict,human_qa_verdict,reviewer_correction,register_note,natural_spoken_french_note,reviewer_rationale,reviewer_name,review_date
QA-L01-011,C,L1,s04-weave-cafe-order,weave,Bonjour,Hello,gloss,You step up to the counter and order simply.,"Start with bonjour, then the request.","Support piece shown as ""greeting"" (required)",recognition,read,chunk-bonjour,,,"piece boundary ""Bonjour"" ↔ registry ""Bonjour""",,(none on item),"fields: payload.suggestedPieces[].text (hint rung 1) ; payload.reveal.ifMissingTargetPiece (inline) || also: L1/s01-insight-survival-kit, L1/s06-weave-cafe-order-please, L1/s08-sayit-cafe-order, L1/s09-recap-survival-kit, L2/s02-meet-bonjour-je-suis-ici, L2/s03-fill-je-suis-blank, L2/s03-fill-je-suis-blank, L2/s07-sayit-arrive-locate, L2/s08-recap-first-engine, L3/s02-fill-verb-in-sandwich, L3/s02-fill-verb-in-sandwich, L4/s06-weave-bonjour-j-ai-une-question, L4/s07-sayit-how-you-feel, L4/s08-recap-jai, L6/s00-goal-petit-moment, L6/s01-meet-bonjour-at-the-door, L6/s01-meet-bonjour-at-the-door, L6/s03-weave-bonjour-je-suis-ici, L6/s00-insight-bonjour-to-au-revoir, L6/s00-insight-bonjour-to-au-revoir, L6/s07-sayit-step-in, L6/s10-recap-a-small-moment, L8/s06-sayit-find-the-room, L8/s06-sayit-find-the-room, L8/s07-recap-ou, L10/s09-meet-morning-arrival, L10/s02-weave-arrive-ask-where, L10/s02-weave-arrive-ask-where, L10/s05-weave-close-the-day, L10/s08-recap-full-day",,,,,,,,
QA-L01-012,C,L1,s04-weave-cafe-order,weave,"Bonjour, je voudrais ___.","Hello, I would like a coffee.",instruction,You step up to the counter and order simply.,,Second hint rung — a shape to fill in,recognition,read,chunk-bonjour chunk-je-voudrais noun-cafe,,,,,(none on item),unique to this screen,,,,,,,,
QA-L01-013,C,L1,s04-weave-cafe-order,weave,je voudrais,I would like,gloss,You step up to the counter and order simply.,,"Support piece shown as ""polite request"" (required)",recognition,read,chunk-je-voudrais,,,"piece boundary ""je voudrais"" ↔ registry ""je voudrais""",,(none on item),"also: L1/s03-fill-polite-verb, L1/s06-weave-cafe-order-please, L1/s11-weave-the-order, L1/s08-sayit-cafe-order, L1/s09-recap-survival-kit, L2/s03-fill-je-suis-blank, L3/s02-fill-verb-in-sandwich, L4/s02-fill-have-not-be, L4/s02-fill-have-not-be, L5/s05-weave-je-voudrais-un-cafe, L5/s07-sayit-ask-for-a-coffee, L5/s08-recap-packages, L7/s03-fill-je-vais-blank, L9/s00-goal-pause, L9/s01-meet-faire-une-pause, L9/s03-fill-faire-blank, L9/s02-insight-voudrais-carries-actions, L9/s04-weave-ask-for-a-break, L9/s05-weave-break-politely, L9/s10-insight-what-you-can-ask, L9/s06-sayit-long-afternoon, L9/s07-recap-pause, L10/s03-fill-engine-chooser, L10/s01-insight-three-engines, L10/s04-weave-midday-break, L10/s08-recap-full-day",,,,,,,,
QA-L01-014,C,L1,s04-weave-cafe-order,weave,un café,coffee,gloss,You step up to the counter and order simply.,,"Support piece shown as ""noun package"" (required)",recognition,read,noun-cafe,,,"piece boundary ""un café"" ↔ registry ""café""",,(none on item),"also: L1/s06-weave-cafe-order-please, L1/s08-sayit-cafe-order, L1/s09-recap-survival-kit, L5/s00-goal-un-une, L5/s00-meet-un-cafe, L5/s03-fill-package-cafe, L5/s04-fill-package-question, L5/s02-insight-little-packages, L5/s04b-fill-choose-package, L5/s05-weave-je-voudrais-un-cafe, L5/s07-sayit-ask-for-a-coffee, L5/s08-recap-packages",,,,,,,,
QA-L01-015,F,L1,s01-insight-survival-kit,insight-card,Bonjour.,Hello.,gloss,Insight card: A small kit goes a long way.,,"Illustrative example inside ""A small kit goes a long way.""",recognition,read,chunk-bonjour,,,,,(none on item),"also: L1/s04-weave-cafe-order, L1/s06-weave-cafe-order-please, L1/s08-sayit-cafe-order, L1/s09-recap-survival-kit, L2/s02-meet-bonjour-je-suis-ici, L2/s03-fill-je-suis-blank, L2/s03-fill-je-suis-blank, L2/s07-sayit-arrive-locate, L2/s08-recap-first-engine, L3/s02-fill-verb-in-sandwich, L3/s02-fill-verb-in-sandwich, L4/s06-weave-bonjour-j-ai-une-question, L4/s07-sayit-how-you-feel, L4/s08-recap-jai, L6/s00-goal-petit-moment, L6/s01-meet-bonjour-at-the-door, L6/s01-meet-bonjour-at-the-door, L6/s03-weave-bonjour-je-suis-ici, L6/s00-insight-bonjour-to-au-revoir, L6/s00-insight-bonjour-to-au-revoir, L6/s07-sayit-step-in, L6/s10-recap-a-small-moment, L8/s06-sayit-find-the-room, L8/s06-sayit-find-the-room, L8/s07-recap-ou, L10/s09-meet-morning-arrival, L10/s02-weave-arrive-ask-where, L10/s02-weave-arrive-ask-where, L10/s05-weave-close-the-day, L10/s08-recap-full-day",,,,,,,,
QA-L01-016,F,L1,s01-insight-survival-kit,insight-card,Merci.,Thank you.,gloss,Insight card: A small kit goes a long way.,,"Illustrative example inside ""A small kit goes a long way.""",recognition,read,chunk-merci,sent:l01-merci,,,,founder_waived_provisional,"also: L1/s00-goal-survival-kit, L1/s07-meet-merci, L1/s07-meet-merci, L1/s10-weave-merci-thanks, L1/s10-weave-merci-thanks, L1/s10-weave-merci-thanks, L1/s08-sayit-cafe-order, L1/s09-recap-survival-kit, L3/s05-fill-refuse-politely, L6/s00-goal-petit-moment, L6/s04-fill-decline-offer, L6/s04-fill-decline-offer, L6/s08-weave-close-open, L6/s10-recap-a-small-moment, L7/s06-sayit-take-your-leave, L7/s07-recap-heading-home, L9/s08-fill-softener, L10/s07-sayit-take-your-leave",,,,,,,,
QA-L01-017,C,L1,s05-meet-sil-vous-plait,meet-card,s'il vous plaît,please (formal),gloss,The polite tail of a request.,,Highlighted chunk boundary inside the meet sentence,recognition,read,chunk-sil-vous-plait,,,"highlight span of ""S'il vous plaît.""",,(none on item),"also: L1/s00-goal-survival-kit, L1/s06-weave-cafe-order-please, L1/s11-weave-the-order, L1/s08-sayit-cafe-order, L1/s09-recap-survival-kit, L9/s08-fill-softener, L9/s05-weave-break-politely, L9/s10-insight-what-you-can-ask, L9/s06-sayit-long-afternoon, L9/s07-recap-pause, L10/s10-reveal-midday-break",,,,,,,,
QA-L01-018,C,L1,s05-meet-sil-vous-plait,meet-card,S'il vous plaît.,Please.,gloss,The polite tail of a request.,,First contact / re-contact: The polite tail of a request.,active-new,listen,chunk-sil-vous-plait,,,s'il vous plaît → chunk-sil-vous-plait,,(none on item),"also: L1/s00-goal-survival-kit, L1/s06-weave-cafe-order-please, L1/s11-weave-the-order, L1/s08-sayit-cafe-order, L1/s09-recap-survival-kit, L9/s08-fill-softener, L9/s05-weave-break-politely, L9/s10-insight-what-you-can-ask, L9/s06-sayit-long-afternoon, L9/s07-recap-pause, L10/s10-reveal-midday-break",,,,,,,,
QA-L01-019,A,L1,s06-weave-cafe-order-please,weave,"Bonjour, je voudrais un café, s'il vous plaît.","Hello, I would like a coffee, please.",instruction,Add the soft close to your order.,,Typed production — supported weave,active-new,type,chunk-bonjour chunk-je-voudrais noun-cafe chunk-sil-vous-plait,,,,,(none on item),unique to this screen,,,,,,,,
QA-L01-020,C,L1,s06-weave-cafe-order-please,weave,Bonjour,Hello,gloss,Add the soft close to your order.,,"Support piece shown as ""greeting"" (required)",recognition,read,chunk-bonjour,,,"piece boundary ""Bonjour"" ↔ registry ""Bonjour""",,(none on item),"also: L1/s04-weave-cafe-order, L1/s01-insight-survival-kit, L1/s08-sayit-cafe-order, L1/s09-recap-survival-kit, L2/s02-meet-bonjour-je-suis-ici, L2/s03-fill-je-suis-blank, L2/s03-fill-je-suis-blank, L2/s07-sayit-arrive-locate, L2/s08-recap-first-engine, L3/s02-fill-verb-in-sandwich, L3/s02-fill-verb-in-sandwich, L4/s06-weave-bonjour-j-ai-une-question, L4/s07-sayit-how-you-feel, L4/s08-recap-jai, L6/s00-goal-petit-moment, L6/s01-meet-bonjour-at-the-door, L6/s01-meet-bonjour-at-the-door, L6/s03-weave-bonjour-je-suis-ici, L6/s00-insight-bonjour-to-au-revoir, L6/s00-insight-bonjour-to-au-revoir, L6/s07-sayit-step-in, L6/s10-recap-a-small-moment, L8/s06-sayit-find-the-room, L8/s06-sayit-find-the-room, L8/s07-recap-ou, L10/s09-meet-morning-arrival, L10/s02-weave-arrive-ask-where, L10/s02-weave-arrive-ask-where, L10/s05-weave-close-the-day, L10/s08-recap-full-day",,,,,,,,
QA-L01-021,C,L1,s06-weave-cafe-order-please,weave,"Bonjour, je voudrais ___, s'il vous plaît.","Hello, I would like a coffee, please.",instruction,Add the soft close to your order.,,Second hint rung — a shape to fill in,recognition,read,chunk-bonjour chunk-je-voudrais noun-cafe chunk-sil-vous-plait,,,,,(none on item),unique to this screen,,,,,,,,
QA-L01-022,C,L1,s06-weave-cafe-order-please,weave,je voudrais,I would like,gloss,Add the soft close to your order.,,"Support piece shown as ""polite request"" (required)",recognition,read,chunk-je-voudrais,,,"piece boundary ""je voudrais"" ↔ registry ""je voudrais""",,(none on item),"also: L1/s03-fill-polite-verb, L1/s04-weave-cafe-order, L1/s11-weave-the-order, L1/s08-sayit-cafe-order, L1/s09-recap-survival-kit, L2/s03-fill-je-suis-blank, L3/s02-fill-verb-in-sandwich, L4/s02-fill-have-not-be, L4/s02-fill-have-not-be, L5/s05-weave-je-voudrais-un-cafe, L5/s07-sayit-ask-for-a-coffee, L5/s08-recap-packages, L7/s03-fill-je-vais-blank, L9/s00-goal-pause, L9/s01-meet-faire-une-pause, L9/s03-fill-faire-blank, L9/s02-insight-voudrais-carries-actions, L9/s04-weave-ask-for-a-break, L9/s05-weave-break-politely, L9/s10-insight-what-you-can-ask, L9/s06-sayit-long-afternoon, L9/s07-recap-pause, L10/s03-fill-engine-chooser, L10/s01-insight-three-engines, L10/s04-weave-midday-break, L10/s08-recap-full-day",,,,,,,,
QA-L01-023,C,L1,s06-weave-cafe-order-please,weave,s'il vous plaît,please (formal),gloss,Add the soft close to your order.,Add s'il vous plaît to soften the close. It costs nothing and changes the tone.,"Support piece shown as ""softener""",recognition,read,chunk-sil-vous-plait,,,"piece boundary ""s'il vous plaît"" ↔ registry ""s'il vous plaît""",,(none on item),"fields: payload.suggestedPieces[].text (hint rung 1) ; payload.reveal.ifMissingTargetPiece (inline) || also: L1/s00-goal-survival-kit, L1/s05-meet-sil-vous-plait, L1/s05-meet-sil-vous-plait, L1/s11-weave-the-order, L1/s08-sayit-cafe-order, L1/s09-recap-survival-kit, L9/s08-fill-softener, L9/s05-weave-break-politely, L9/s10-insight-what-you-can-ask, L9/s06-sayit-long-afternoon, L9/s07-recap-pause, L10/s10-reveal-midday-break",,,,,,,,
QA-L01-024,C,L1,s06-weave-cafe-order-please,weave,un café,coffee,gloss,Add the soft close to your order.,,"Support piece shown as ""noun package"" (required)",recognition,read,noun-cafe,,,"piece boundary ""un café"" ↔ registry ""café""",,(none on item),"also: L1/s04-weave-cafe-order, L1/s08-sayit-cafe-order, L1/s09-recap-survival-kit, L5/s00-goal-un-une, L5/s00-meet-un-cafe, L5/s03-fill-package-cafe, L5/s04-fill-package-question, L5/s02-insight-little-packages, L5/s04b-fill-choose-package, L5/s05-weave-je-voudrais-un-cafe, L5/s07-sayit-ask-for-a-coffee, L5/s08-recap-packages",,,,,,,,
QA-L01-025,C,L1,s07-meet-merci,meet-card,Merci,thank you,gloss,Close with thanks.,,Highlighted chunk boundary inside the meet sentence,recognition,read,chunk-merci,sent:l01-merci,,"highlight span of ""Merci.""",,founder_waived_provisional,"also: L1/s00-goal-survival-kit, L1/s01-insight-survival-kit, L1/s10-weave-merci-thanks, L1/s10-weave-merci-thanks, L1/s10-weave-merci-thanks, L1/s08-sayit-cafe-order, L1/s09-recap-survival-kit, L3/s05-fill-refuse-politely, L6/s00-goal-petit-moment, L6/s04-fill-decline-offer, L6/s04-fill-decline-offer, L6/s08-weave-close-open, L6/s10-recap-a-small-moment, L7/s06-sayit-take-your-leave, L7/s07-recap-heading-home, L9/s08-fill-softener, L10/s07-sayit-take-your-leave",,,,,,,,
QA-L01-026,C,L1,s07-meet-merci,meet-card,Merci.,Thank you.,gloss,Close with thanks.,,First contact / re-contact: Close with thanks.,active-new,listen,chunk-merci,sent:l01-merci,,Merci → chunk-merci,,founder_waived_provisional,"also: L1/s00-goal-survival-kit, L1/s01-insight-survival-kit, L1/s10-weave-merci-thanks, L1/s10-weave-merci-thanks, L1/s10-weave-merci-thanks, L1/s08-sayit-cafe-order, L1/s09-recap-survival-kit, L3/s05-fill-refuse-politely, L6/s00-goal-petit-moment, L6/s04-fill-decline-offer, L6/s04-fill-decline-offer, L6/s08-weave-close-open, L6/s10-recap-a-small-moment, L7/s06-sayit-take-your-leave, L7/s07-recap-heading-home, L9/s08-fill-softener, L10/s07-sayit-take-your-leave",,,,,,,,
QA-L01-027,A,L1,s10-weave-merci-thanks,weave,Merci.,The coffee arrives. Thank them.,instruction,The server sets it down and waits a moment.,,Typed production — supported weave,active-new,type,chunk-merci,sent:l01-merci,v1-lesson-001/s10-weave-merci-thanks,,Merci | Merci !,founder_waived_provisional,"also: L1/s00-goal-survival-kit, L1/s01-insight-survival-kit, L1/s07-meet-merci, L1/s07-meet-merci, L1/s08-sayit-cafe-order, L1/s09-recap-survival-kit, L3/s05-fill-refuse-politely, L6/s00-goal-petit-moment, L6/s04-fill-decline-offer, L6/s04-fill-decline-offer, L6/s08-weave-close-open, L6/s10-recap-a-small-moment, L7/s06-sayit-take-your-leave, L7/s07-recap-heading-home, L9/s08-fill-softener, L10/s07-sayit-take-your-leave",,,,,,,,
QA-L01-028,E,L1,s10-weave-merci-thanks,weave,Merci,The coffee arrives. Thank them.,instruction,The server sets it down and waits a moment.,,"Accepted instead of ""Merci.""",accepted-alternative,type,chunk-merci,sent:l01-merci,v1-lesson-001/s10-weave-merci-thanks,,,founder_waived_provisional,"also: L1/s00-goal-survival-kit, L1/s01-insight-survival-kit, L1/s07-meet-merci, L1/s07-meet-merci, L1/s08-sayit-cafe-order, L1/s09-recap-survival-kit, L3/s05-fill-refuse-politely, L6/s00-goal-petit-moment, L6/s04-fill-decline-offer, L6/s04-fill-decline-offer, L6/s08-weave-close-open, L6/s10-recap-a-small-moment, L7/s06-sayit-take-your-leave, L7/s07-recap-heading-home, L9/s08-fill-softener, L10/s07-sayit-take-your-leave",,,,,,,,
QA-L01-029,E,L1,s10-weave-merci-thanks,weave,Merci !,The coffee arrives. Thank them.,instruction,The server sets it down and waits a moment.,,"Accepted instead of ""Merci.""",accepted-alternative,type,chunk-merci,,v1-lesson-001/s10-weave-merci-thanks,,,(none on item),unique to this screen,,,,,,,,
QA-L01-030,F,L1,s10-weave-merci-thanks,weave,merci,thank you,gloss,The server sets it down and waits a moment.,One word does it here: merci.,French named inside feedback copy,recognition,read,chunk-merci,sent:l01-merci,v1-lesson-001/s10-weave-merci-thanks,,,founder_waived_provisional,"also: L1/s00-goal-survival-kit, L1/s01-insight-survival-kit, L1/s07-meet-merci, L1/s07-meet-merci, L1/s08-sayit-cafe-order, L1/s09-recap-survival-kit, L3/s05-fill-refuse-politely, L6/s00-goal-petit-moment, L6/s04-fill-decline-offer, L6/s04-fill-decline-offer, L6/s08-weave-close-open, L6/s10-recap-a-small-moment, L7/s06-sayit-take-your-leave, L7/s07-recap-heading-home, L9/s08-fill-softener, L10/s07-sayit-take-your-leave",,,,,,,,
QA-L01-031,C,L1,s12-meet-un-the,meet-card,Je voudrais un thé.,I would like a tea.,gloss,"Same request, a different drink.",,"First contact / re-contact: Same request, a different drink.",supported,listen,chunk-un-the,,,un thé → chunk-un-the,,founder_waived_provisional,unique to this screen,,,,,,,,
QA-L01-032,C,L1,s12-meet-un-the,meet-card,un thé,a tea,gloss,"Same request, a different drink.",,Highlighted chunk boundary inside the meet sentence,supported,read,chunk-un-the,,,"highlight span of ""Je voudrais un thé.""",,founder_waived_provisional,"also: L1/s11-weave-the-order, L1/s09-recap-survival-kit",,,,,,,,
QA-L01-033,A,L1,s11-weave-the-order,weave,"Je voudrais un thé, s'il vous plaît.",Order a tea politely.,instruction,The server looks over. This time it's a tea.,,Typed production — supported weave,supported,type,chunk-un-the,sent:l01-je-voudrais-un-the-sil-vous-plait,v1-lesson-001/s11-weave-the-order,constitutive package: un thé (chunk-un-the),,founder_waived_provisional,unique to this screen,,,,,,,,
QA-L01-034,C,L1,s11-weave-the-order,weave,je voudrais,I would like,gloss,The server looks over. This time it's a tea.,,"Support piece shown as ""polite request""",recognition,read,chunk-je-voudrais,,v1-lesson-001/s11-weave-the-order,"piece boundary ""je voudrais"" ↔ registry ""je voudrais""",,(none on item),"also: L1/s03-fill-polite-verb, L1/s04-weave-cafe-order, L1/s06-weave-cafe-order-please, L1/s08-sayit-cafe-order, L1/s09-recap-survival-kit, L2/s03-fill-je-suis-blank, L3/s02-fill-verb-in-sandwich, L4/s02-fill-have-not-be, L4/s02-fill-have-not-be, L5/s05-weave-je-voudrais-un-cafe, L5/s07-sayit-ask-for-a-coffee, L5/s08-recap-packages, L7/s03-fill-je-vais-blank, L9/s00-goal-pause, L9/s01-meet-faire-une-pause, L9/s03-fill-faire-blank, L9/s02-insight-voudrais-carries-actions, L9/s04-weave-ask-for-a-break, L9/s05-weave-break-politely, L9/s10-insight-what-you-can-ask, L9/s06-sayit-long-afternoon, L9/s07-recap-pause, L10/s03-fill-engine-chooser, L10/s01-insight-three-engines, L10/s04-weave-midday-break, L10/s08-recap-full-day",,,,,,,,
QA-L01-035,C,L1,s11-weave-the-order,weave,"Je voudrais ___, s'il vous plaît.",Order a tea politely.,instruction,The server looks over. This time it's a tea.,,Second hint rung — a shape to fill in,recognition,read,chunk-un-the,,v1-lesson-001/s11-weave-the-order,,,founder_waived_provisional,also: L9/s05-weave-break-politely,,,,,,,,
QA-L01-036,C,L1,s11-weave-the-order,weave,s'il vous plaît,please (formal),gloss,The server looks over. This time it's a tea.,,"Support piece shown as ""polite close""",recognition,read,chunk-sil-vous-plait,,v1-lesson-001/s11-weave-the-order,"piece boundary ""s'il vous plaît"" ↔ registry ""s'il vous plaît""",,(none on item),"also: L1/s00-goal-survival-kit, L1/s05-meet-sil-vous-plait, L1/s05-meet-sil-vous-plait, L1/s06-weave-cafe-order-please, L1/s08-sayit-cafe-order, L1/s09-recap-survival-kit, L9/s08-fill-softener, L9/s05-weave-break-politely, L9/s10-insight-what-you-can-ask, L9/s06-sayit-long-afternoon, L9/s07-recap-pause, L10/s10-reveal-midday-break",,,,,,,,
QA-L01-037,C,L1,s11-weave-the-order,weave,un thé,a tea,gloss,The server looks over. This time it's a tea.,Your meaning lands. The drink keeps its little word: un thé. ⏐ The drink piece is right there: un thé.,"Support piece shown as ""your drink"" (required)",supported,read,chunk-un-the,,v1-lesson-001/s11-weave-the-order,"piece boundary ""un thé"" ↔ registry ""un thé""",,founder_waived_provisional,"fields: payload.suggestedPieces[].text (constitutive, always visible) ; payload.reveal.ifUnderstandableButWrong (inline) ; payload.reveal.ifMissingTargetPiece (inline) || also: L1/s12-meet-un-the, L1/s09-recap-survival-kit",,,,,,,,
QA-L01-038,B,L1,s08-sayit-cafe-order,say-it-your-way,"Bonjour, je voudrais un café, s'il vous plaît. Merci !","Order politely, then close the exchange.",instruction,"The counter is quiet. You have been waiting a moment, and the person behind it turns to you.",,Model answer for the open task,model-only,read,chunk-bonjour chunk-je-voudrais noun-cafe chunk-sil-vous-plait chunk-merci,,,,,(none on item),unique to this screen,,,,,,,,
QA-L01-039,B,L1,s08-sayit-cafe-order,say-it-your-way,"Bonjour, un café s'il vous plaît. Merci !","Order politely, then close the exchange.",instruction,"The counter is quiet. You have been waiting a moment, and the person behind it turns to you.",,Alternative natural version shown in the reveal,model-only,read,chunk-bonjour chunk-je-voudrais noun-cafe chunk-sil-vous-plait chunk-merci,,,,,(none on item),unique to this screen,,,,,,,,
QA-L01-040,C,L1,s08-sayit-cafe-order,say-it-your-way,Bonjour,Hello,gloss,"The counter is quiet. You have been waiting a moment, and the person behind it turns to you.",,Support piece for the open task,recognition,read,chunk-bonjour,,,"piece boundary ""Bonjour"" ↔ registry ""Bonjour""",,(none on item),"also: L1/s04-weave-cafe-order, L1/s01-insight-survival-kit, L1/s06-weave-cafe-order-please, L1/s09-recap-survival-kit, L2/s02-meet-bonjour-je-suis-ici, L2/s03-fill-je-suis-blank, L2/s03-fill-je-suis-blank, L2/s07-sayit-arrive-locate, L2/s08-recap-first-engine, L3/s02-fill-verb-in-sandwich, L3/s02-fill-verb-in-sandwich, L4/s06-weave-bonjour-j-ai-une-question, L4/s07-sayit-how-you-feel, L4/s08-recap-jai, L6/s00-goal-petit-moment, L6/s01-meet-bonjour-at-the-door, L6/s01-meet-bonjour-at-the-door, L6/s03-weave-bonjour-je-suis-ici, L6/s00-insight-bonjour-to-au-revoir, L6/s00-insight-bonjour-to-au-revoir, L6/s07-sayit-step-in, L6/s10-recap-a-small-moment, L8/s06-sayit-find-the-room, L8/s06-sayit-find-the-room, L8/s07-recap-ou, L10/s09-meet-morning-arrival, L10/s02-weave-arrive-ask-where, L10/s02-weave-arrive-ask-where, L10/s05-weave-close-the-day, L10/s08-recap-full-day",,,,,,,,
