number,lesson,situation,exact_french,english_meaning,treatment,verdict,preferred_correction,acceptable_alternatives,register_or_naturalness_note,short_reason,reviewer_name,review_date
24,Lesson 1,The drink is set down in front of you.,Voilà.,Here you are.,INTERLOCUTOR,,,,,,,
25,Lesson 1,"The same handover, addressed.","Voilà, monsieur.","Here you are, sir.",INTERLOCUTOR,,,,,,,
26,Lesson 1,"Shown after your own thanks, as a warmer version.","Merci, madame.","Thank you, madam.",MODEL,,,,,,,
27,Lesson 1,"The server's close, shown as a model.","Au revoir, madame.","Goodbye, madam.",MODEL,,,,,,,
28,Lesson 1,One natural way to run the whole order.,"Bonjour, je voudrais un café, s'il vous plaît. Merci !","Hello, I would like a coffee, please. Thank you!",MODEL,,,,,,,
29,Lesson 1,"The shorter, more casual way to run the same order.","Bonjour, un café, s'il vous plaît. Merci !","Hello, a coffee, please. Thank you!",MODEL,,,,,,,
30,Lesson 1,"A warmer exit, shown after yours.","Merci beaucoup, au revoir !","Thank you very much, goodbye!",MODEL,,,,,,,
31,Lesson 2,Someone calls your name and you answer.,Je suis ici.,I am here.,PRODUCE,,,,,,,
32,Lesson 2,You step into the room and greet before placing yourself.,"Bonjour, je suis ici.","Hello, I am here.",PRODUCE,,,,,,,
33,Lesson 2,The same answer with the other place word; both are normal.,Je suis là.,I'm here.,ACCEPTED ALTERNATIVE,,,,,,,
34,Lesson 2,"The opposite of being late, said with relief.",Je suis à l'heure.,I'm on time.,READ/LISTEN,,,,,,,
35,Lesson 2,You arrive after things have started.,Je suis en retard.,I'm late.,SUPPORTED,,,,,,,
36,Lesson 2,Slipping in once the room is already busy.,"Excusez-moi, je suis en retard.","Excuse me, I'm late.",SUPPORTED,,,,,,,
37,Lesson 2,Greeting and owning it in one turn.,"Bonjour, je suis en retard.","Hello, I'm late.",PRODUCE,,,,,,,
38,Lesson 2,"Shown as a contrast: same meaning, more emphasis on you.","Moi, je suis ici.","Me, I'm here.",CONTRAST,,,,,,,
39,Lesson 2,The same shape naming a state instead of a place (man speaking).,Je suis fatigué.,I'm tired.,READ/LISTEN,,,,,,,
40,Lesson 2,The same sentence when a woman says it.,Je suis fatiguée.,I'm tired.,READ/LISTEN,,,,,,,
41,Lesson 2,"Another state, shown beside the place (man speaking).",Je suis prêt.,I'm ready.,READ/LISTEN,,,,,,,
42,Lesson 2,The same sentence when a woman says it.,Je suis prête.,I'm ready.,READ/LISTEN,,,,,,,
43,Lesson 2,Heard after arriving late (man speaking).,Je suis désolé.,I'm sorry.,READ/LISTEN,,,,,,,
44,Lesson 2,The same apology when a woman says it.,Je suis désolée.,I'm sorry.,READ/LISTEN,,,,,,,
45,Lesson 2,Someone checks whether you have arrived.,Vous êtes ici ?,Are you here?,INTERLOCUTOR,,,,,,,
46,Lesson 2,"The same check, called through a door.",Vous êtes là ?,Are you there?,INTERLOCUTOR,,,,,,,
47,Lesson 2,They spot you and are pleased.,"Ah, vous êtes là !","Ah, there you are!",INTERLOCUTOR,,,,,,,
48,Lesson 2,Someone asks if you are set (asking a man).,Vous êtes prêt ?,Are you ready?,INTERLOCUTOR,,,,,,,
49,Lesson 2,The same question asked of a woman.,Vous êtes prête ?,Are you ready?,INTERLOCUTOR,,,,,,,
50,Lesson 2,"Said to you, without reproach.",Vous êtes en retard.,You're late.,INTERLOCUTOR,,,,,,,
51,Lesson 2,The reply after you say you're late.,Ce n'est pas grave.,It's fine / no harm done.,INTERLOCUTOR,,,,,,,
52,Lesson 2,Heard at the door; you only need to understand it.,Entrez.,Come in.,INTERLOCUTOR,,,,,,,
53,Lesson 2,Someone shows you where to go.,Par ici.,This way.,INTERLOCUTOR,,,,,,,
54,Lesson 2,Heard while someone finishes something.,Une seconde.,One second.,INTERLOCUTOR,,,,,,,
55,Lesson 2,Heard as you are shown in.,Asseyez-vous.,Have a seat.,INTERLOCUTOR,,,,,,,
56,Lesson 2,One natural way to run a whole small arrival.,Bonjour. Je suis ici. Merci.,Hello. I'm here. Thank you.,MODEL,,,,,,,
57,Lesson 2,The same arrival on a day that went wrong.,"Bonjour, je suis en retard. Excusez-moi.","Hello, I'm late. Sorry.",MODEL,,,,,,,
58,Lesson 2,Still available when the room answers too fast.,Je ne comprends pas.,I don't understand.,SUPPORTED,,,,,,,
59,Lesson 2,The second half of the same recovery.,Vous pouvez répéter ?,Can you say that again?,SUPPORTED,,,,,,,
60,Lesson 2,Getting attention before you place yourself.,Excusez-moi.,Excuse me.,SUPPORTED,,,,,,,
61,Lesson 3,The fastest answer there is.,Non.,No.,PRODUCE,,,,,,,
62,Lesson 3,"Its opposite, just as fast.",Oui.,Yes.,PRODUCE,,,,,,,
63,Lesson 3,Turning down an offer without being sharp.,"Non, merci.","No, thank you.",PRODUCE,,,,,,,
64,Lesson 3,The same refusal written without the comma.,Non merci.,No thanks.,ACCEPTED ALTERNATIVE,,,,,,,
65,Lesson 3,Accepting the same offer.,"Oui, merci.","Yes, thank you.",PRODUCE,,,,,,,
66,Lesson 3,Someone is looking for you in the wrong room.,Je ne suis pas ici.,I am not here.,PRODUCE,,,,,,,
67,Lesson 3,"Answering first, then explaining.","Non, je ne suis pas ici.","No, I am not here.",PRODUCE,,,,,,,
68,Lesson 3,The same answer with the other place word.,Je ne suis pas là.,I'm not there.,ACCEPTED ALTERNATIVE,,,,,,,
69,Lesson 3,Someone points at the wrong place.,Ce n'est pas ici.,It is not here.,PRODUCE,,,,,,,
70,Lesson 3,Answering a where-question in the negative.,"Non, ce n'est pas ici.","No, it is not here.",PRODUCE,,,,,,,
71,Lesson 3,Now built from the wrap the lesson teaches.,Je ne comprends pas.,I don't understand.,PRODUCE,,,,,,,
72,Lesson 3,Interrupting politely to say you are lost.,"Excusez-moi, je ne comprends pas.","Excuse me, I don't understand.",SUPPORTED,,,,,,,
73,Lesson 3,The repeat request that follows it.,Vous pouvez répéter ?,Can you say that again?,SUPPORTED,,,,,,,
74,Lesson 3,The same wrap on a different state.,Je ne suis pas en retard.,I'm not late.,MODEL,,,,,,,
75,Lesson 3,Another state turned around (man speaking).,Je ne suis pas fatigué.,I'm not tired.,MODEL,,,,,,,
76,Lesson 3,The full written form of a plain refusal.,Je ne veux pas.,I don't want to.,READ/LISTEN,,,,,,,
77,Lesson 3,Shown as a contrast: how it is usually said out loud.,Je veux pas.,I don't want to.,CONTRAST,,,,,,,
78,Lesson 3,The offer you are going to turn down.,Vous voulez un café ?,Would you like a coffee?,INTERLOCUTOR,,,,,,,
79,Lesson 3,"The same offer, shortened.",Un café ?,Coffee?,INTERLOCUTOR,,,,,,,
80,Lesson 3,The other offer.,Un thé ?,Tea?,INTERLOCUTOR,,,,,,,
81,Lesson 3,The question that gets a no.,Vous êtes ici ?,Are you here?,INTERLOCUTOR,,,,,,,
82,Lesson 3,Someone checking the place with you.,C'est ici ?,Is it here?,INTERLOCUTOR,,,,,,,
83,Lesson 3,"Now something you can take apart, not just recognise.",Ce n'est pas grave.,It's fine.,READ/LISTEN,,,,,,,
84,Lesson 3,The usual reply to a refusal.,Pas de problème.,No problem.,INTERLOCUTOR,,,,,,,
85,Lesson 3,Heard when someone accepts your no.,D'accord.,All right.,INTERLOCUTOR,,,,,,,
86,Lesson 3,"The same, with the beat of understanding in front.","Ah, d'accord.","Ah, all right.",INTERLOCUTOR,,,,,,,
87,Lesson 3,Heard constantly; understood long before it is used.,Ça va.,It's fine / I'm fine.,READ/LISTEN,,,,,,,
88,Lesson 3,One natural way to refuse warmly.,"Non, merci, ça va.","No thanks, I'm fine.",MODEL,,,,,,,
89,Lesson 3,Answering a check with an honest no.,"Non, je ne comprends pas.","No, I don't understand.",MODEL,,,,,,,
90,Lesson 3,Correcting someone politely.,"Excusez-moi, ce n'est pas ici.","Excuse me, it's not here.",MODEL,,,,,,,
91,Lesson 4,Past noon and you have not eaten.,J'ai faim.,I'm hungry.,PRODUCE,,,,,,,
92,Lesson 4,A long afternoon with nothing to drink.,J'ai soif.,I'm thirsty.,PRODUCE,,,,,,,
93,Lesson 4,You came with one thing to ask.,J'ai une question.,I have a question.,PRODUCE,,,,,,,
94,Lesson 4,"Greeting first, then opening your question.","Bonjour, j'ai une question.","Hello, I have a question.",PRODUCE,,,,,,,
95,Lesson 4,Nobody has looked up yet.,"Excusez-moi, j'ai une question.","Excuse me, I have a question.",PRODUCE,,,,,,,
96,Lesson 4,Something has stalled and you can see a way through.,J'ai une idée.,I have an idea.,SUPPORTED,,,,,,,
97,Lesson 4,Someone asks you for a way forward.,Vous avez une idée ?,Do you have an idea?,INTERLOCUTOR,,,,,,,
98,Lesson 4,Softening the ask with the formula you own.,"J'ai une question, s'il vous plaît.","I have a question, please.",ACCEPTED ALTERNATIVE,,,,,,,
99,Lesson 4,Shown as an example: the pattern reaches further.,J'ai froid.,I'm cold.,READ/LISTEN,,,,,,,
100,Lesson 4,"Its opposite, shown beside it.",J'ai chaud.,I'm hot.,READ/LISTEN,,,,,,,
101,Lesson 4,"The wrap from the last lesson, on the new engine.",Je n'ai pas faim.,I'm not hungry.,MODEL,,,,,,,
102,Lesson 4,"Shown beside J'ai faim: two engines, two jobs.",Je suis ici.,I'm here.,CONTRAST,,,,,,,
103,Lesson 4,"Two feelings, split across the two engines.","Je suis fatigué, et j'ai faim.","I'm tired, and I'm hungry.",READ/LISTEN,,,,,,,
104,Lesson 4,One natural way to make the ask lighter.,J'ai une petite question.,I have a small question.,MODEL,,,,,,,
105,Lesson 4,Someone asks you first.,Vous avez faim ?,Are you hungry?,INTERLOCUTOR,,,,,,,
106,Lesson 4,The same question about drinking.,Vous avez soif ?,Are you thirsty?,INTERLOCUTOR,,,,,,,
107,Lesson 4,They notice you waiting.,Vous avez une question ?,Do you have a question?,INTERLOCUTOR,,,,,,,
108,Lesson 4,"The same thing, shortened.",Une question ?,A question?,INTERLOCUTOR,,,,,,,
109,Lesson 4,The invitation to go ahead.,Dites-moi.,Tell me.,INTERLOCUTOR,,,,,,,
110,Lesson 4,A slightly warmer version of the same invitation.,Je vous écoute.,I'm listening.,INTERLOCUTOR,,,,,,,
111,Lesson 4,Heard when it is your turn to speak.,Allez-y.,Go ahead.,INTERLOCUTOR,,,,,,,
112,Lesson 4,The easy yes to a request.,Bien sûr.,Of course.,INTERLOCUTOR,,,,,,,
113,Lesson 4,Someone agrees with you.,"Moi aussi, j'ai faim.","Me too, I'm hungry.",INTERLOCUTOR,,,,,,,
114,Lesson 4,The offer that answers your thirst.,Vous voulez un café ?,Would you like a coffee?,INTERLOCUTOR,,,,,,,
115,Lesson 4,"A state, and the request it leads to.","Oui, j'ai soif. Je voudrais un café, s'il vous plaît.","Yes, I'm thirsty. I'd like a coffee, please.",MODEL,,,,,,,
116,Lesson 4,Turning the offer down with a reason.,"Non merci, je n'ai pas soif.","No thanks, I'm not thirsty.",MODEL,,,,,,,
117,Lesson 4,Saying what you need before asking for it.,"Excusez-moi, j'ai soif.","Excuse me, I'm thirsty.",MODEL,,,,,,,
118,Lesson 4,Still there when the answer comes too fast.,Je ne comprends pas.,I don't understand.,SUPPORTED,,,,,,,
119,Lesson 4,The repeat request.,Vous pouvez répéter ?,Can you say that again?,SUPPORTED,,,,,,,
120,Lesson 4,"The warmer thanks, once they have answered.",Merci beaucoup.,Thank you very much.,MODEL,,,,,,,
121,Lesson 5,"The drink and its little word, learned as one piece.",un café,a coffee,PRODUCE,,,,,,,
122,Lesson 5,"The other package, with the other little word.",une question,a question,PRODUCE,,,,,,,
123,Lesson 5,"A second un package, already met.",un thé,a tea,SUPPORTED,,,,,,,
124,Lesson 5,A une package you can actually ask for.,une table,a table,SUPPORTED,,,,,,,
125,Lesson 5,The package heard at the counter in Lesson 1.,un croissant,a croissant,SUPPORTED,,,,,,,
126,Lesson 5,The package inside a request.,Je voudrais un café.,I would like a coffee.,PRODUCE,,,,,,,
127,Lesson 5,"The same request, softened.","Je voudrais un café, s'il vous plaît.","I would like a coffee, please.",PRODUCE,,,,,,,
128,Lesson 5,The une package inside the engine you own.,J'ai une question.,I have a question.,PRODUCE,,,,,,,
129,Lesson 5,You step into a small restaurant at lunchtime.,"Je voudrais une table, s'il vous plaît.","I would like a table, please.",PRODUCE,,,,,,,
130,Lesson 5,"Back at the counter, and this time you're hungry.","Je voudrais un croissant, s'il vous plaît.","I would like a croissant, please.",PRODUCE,,,,,,,
131,Lesson 5,"The tea order, back with the package in focus.","Je voudrais un thé, s'il vous plaît.","I would like a tea, please.",PRODUCE,,,,,,,
132,Lesson 5,The package on its own at a busy counter.,"Un café, s'il vous plaît.","A coffee, please.",PRODUCE,,,,,,,
133,Lesson 5,The short version at the restaurant door.,"Une table, s'il vous plaît.","A table, please.",ACCEPTED ALTERNATIVE,,,,,,,
134,Lesson 5,The short version at the counter.,"Un croissant, s'il vous plaît.","A croissant, please.",ACCEPTED ALTERNATIVE,,,,,,,
135,Lesson 5,Shown as a wrong option only; never accepted.,un question,(wrong package),CONTRAST,,,,,,,
136,Lesson 5,Shown as a wrong option only: the noun without its word.,question,question (on its own),CONTRAST,,,,,,,
137,Lesson 5,Two packages in one order.,"Je voudrais un café et un croissant, s'il vous plaît.","I'd like a coffee and a croissant, please.",MODEL,,,,,,,
138,Lesson 5,Heard at the door; you only need to follow it.,"Une table pour deux, s'il vous plaît.","A table for two, please.",READ/LISTEN,,,,,,,
139,Lesson 5,The greeter meets you at the door.,Vous voulez une table ?,Would you like a table?,INTERLOCUTOR,,,,,,,
140,Lesson 5,"The same question, shortened.",Une table ?,A table?,INTERLOCUTOR,,,,,,,
141,Lesson 5,Being offered a choice.,Un café ou un thé ?,Coffee or tea?,INTERLOCUTOR,,,,,,,
142,Lesson 5,The line every French counter says.,Et avec ceci ?,Anything else?,INTERLOCUTOR,,,,,,,
143,Lesson 5,"The same check, more plainly.",C'est tout ?,Is that everything?,INTERLOCUTOR,,,,,,,
144,Lesson 5,One natural way to close the order.,"Oui, c'est tout, merci.","Yes, that's everything, thank you.",MODEL,,,,,,,
145,Lesson 5,"The handover, naming what it is.","Voilà, un café.","Here you are, one coffee.",INTERLOCUTOR,,,,,,,
146,Lesson 5,"The same handover, a little warmer.",Voilà votre café.,Here's your coffee.,INTERLOCUTOR,,,,,,,
147,Lesson 5,"Another package, heard in passing.",un restaurant,a restaurant,READ/LISTEN,,,,,,,
148,Lesson 5,A une package you will need later.,une maison,a house,READ/LISTEN,,,,,,,
149,Lesson 5,One natural way to accept what arrives.,"Merci, c'est parfait.","Thank you, that's perfect.",MODEL,,,,,,,
150,Lesson 5,Still there when the counter answers fast.,Je ne comprends pas.,I don't understand.,SUPPORTED,,,,,,,
151,Lesson 6,You are at the door.,Bonjour.,Hello.,PRODUCE,,,,,,,
152,Lesson 6,"Greeting, then placing yourself.","Bonjour, je suis ici.","Hello, I am here.",PRODUCE,,,,,,,
153,Lesson 6,"Inside, once they look up.",Je suis ici.,I am here.,PRODUCE,,,,,,,
154,Lesson 6,The reason you came.,J'ai une question.,I have a question.,PRODUCE,,,,,,,
155,Lesson 6,Nobody has looked up yet.,"Excusez-moi, j'ai une question.","Excuse me, I have a question.",PRODUCE,,,,,,,
156,Lesson 6,Someone offers you a coffee and you're fine.,Non merci.,No thanks.,PRODUCE,,,,,,,
157,Lesson 6,Declining the offer and saying why you're there.,Non merci. J'ai une question.,No thanks. I have a question.,PRODUCE,,,,,,,
158,Lesson 6,Once they have helped.,Merci.,Thank you.,PRODUCE,,,,,,,
159,Lesson 6,The close of the moment.,Au revoir.,Goodbye.,PRODUCE,,,,,,,
160,Lesson 6,Thanks and goodbye together.,"Merci, au revoir.","Thank you, goodbye.",PRODUCE,,,,,,,
161,Lesson 6,The three-beat arrival.,Bonjour. Je suis ici. J'ai une question.,Hello. I'm here. I have a question.,PRODUCE,,,,,,,
162,Lesson 6,"The whole moment, door to goodbye.",Bonjour. Je suis ici. J'ai une question. Merci. Au revoir.,Hello. I'm here. I have a question. Thank you. Goodbye.,PRODUCE,,,,,,,
163,Lesson 6,The same moment with the middle beat left out.,Bonjour. J'ai une question. Merci. Au revoir.,Hello. I have a question. Thank you. Goodbye.,ACCEPTED ALTERNATIVE,,,,,,,
164,Lesson 6,The same arrival on a day that went wrong.,"Bonjour. Excusez-moi, je suis en retard.","Hello. Excuse me, I'm late.",MODEL,,,,,,,
165,Lesson 6,Closing when you know you are coming back.,"Merci, à bientôt.","Thank you, see you soon.",MODEL,,,,,,,
166,Lesson 6,The warmest of the three closes.,"Merci beaucoup, au revoir !","Thank you very much, goodbye!",MODEL,,,,,,,
167,Lesson 6,The close with the address form added.,"Merci, au revoir, madame.","Thank you, goodbye, madam.",MODEL,,,,,,,
168,Lesson 6,How you will be greeted at the door.,"Bonjour, madame.","Hello, madam.",READ/LISTEN,,,,,,,
169,Lesson 6,How you will be sent off.,"Au revoir, monsieur.","Goodbye, sir.",READ/LISTEN,,,,,,,
170,Lesson 6,The close you will hear more than any other.,Bonne journée !,Have a good day!,INTERLOCUTOR,,,,,,,
171,Lesson 6,The two closes together.,"Bonne journée, au revoir !","Have a good day, goodbye!",MODEL,,,,,,,
172,Lesson 6,Heard when you are expected back.,À bientôt.,See you soon.,INTERLOCUTOR,,,,,,,
173,Lesson 6,They recognise you at the door.,"Ah, bonjour ! Entrez.","Ah, hello! Come in.",INTERLOCUTOR,,,,,,,
174,Lesson 6,Called through the door before you answer.,Vous êtes là ?,Are you there?,INTERLOCUTOR,,,,,,,
175,Lesson 6,The offer you will decline.,Vous voulez un café ?,Would you like a coffee?,INTERLOCUTOR,,,,,,,
176,Lesson 6,The easy yes when you open your question.,Une question ? Bien sûr.,A question? Of course.,INTERLOCUTOR,,,,,,,
177,Lesson 6,The formal reply to your thanks.,Je vous en prie.,You're welcome.,INTERLOCUTOR,,,,,,,
178,Lesson 6,The everyday reply to your thanks.,De rien.,It's nothing.,INTERLOCUTOR,,,,,,,
179,Lesson 6,Heard as you are shown in.,Asseyez-vous.,Have a seat.,INTERLOCUTOR,,,,,,,
180,Lesson 6,"The recovery, in a room where people talk fast.",Je ne comprends pas. Vous pouvez répéter ?,I don't understand. Can you say that again?,SUPPORTED,,,,,,,
181,Lesson 6,Interrupting to say you're lost.,"Excusez-moi, je ne comprends pas.","Excuse me, I don't understand.",SUPPORTED,,,,,,,
182,Lesson 6,Heard as something is handed to you.,Voilà.,There we go.,INTERLOCUTOR,,,,,,,
183,Lesson 7,The evening is winding down.,Je vais à la maison.,I'm going home.,PRODUCE,,,,,,,
184,Lesson 7,"Midday, and someone asks where you're off to.",Je vais au café.,I'm going to the café.,PRODUCE,,,,,,,
185,Lesson 7,"Saying where you're going, then leaving.",Je vais à la maison. Au revoir.,I'm going home. Goodbye.,PRODUCE,,,,,,,
186,Lesson 7,The same two moves run together in one breath.,"Je vais à la maison, au revoir.","I'm going home, goodbye.",ACCEPTED ALTERNATIVE,,,,,,,
187,Lesson 7,The gathering is ending and you take your leave.,Merci. Je vais à la maison. Au revoir.,Thank you. I'm going home. Goodbye.,PRODUCE,,,,,,,
188,Lesson 7,"The destination, learned whole.",à la maison,home,SUPPORTED,,,,,,,
189,Lesson 7,"A second destination, learned the same way.",au café,to the café,SUPPORTED,,,,,,,
190,Lesson 7,"A third destination, heard only.",Je vais au restaurant.,I'm going to the restaurant.,READ/LISTEN,,,,,,,
191,Lesson 7,"The wrap you own, on the new engine.",Je ne vais pas à la maison.,I'm not going home.,MODEL,,,,,,,
192,Lesson 7,"Shown beside Je vais à la maison: being there, not heading there.",Je suis à la maison.,I'm at home.,CONTRAST,,,,,,,
193,Lesson 7,The shortest way to say you're leaving; heard only.,J'y vais.,I'm off.,READ/LISTEN,,,,,,,
194,Lesson 7,Said by someone else as the group moves.,On y va.,Let's go.,INTERLOCUTOR,,,,,,,
195,Lesson 7,The question your sentence answers.,Vous allez où ?,Where are you going?,INTERLOCUTOR,,,,,,,
196,Lesson 7,"The same question, guessing the answer.",Vous allez à la maison ?,Are you going home?,INTERLOCUTOR,,,,,,,
197,Lesson 7,Noticed as you pick up your coat.,Vous partez ?,Are you leaving?,INTERLOCUTOR,,,,,,,
198,Lesson 7,The mild surprise that follows.,Déjà ?,Already?,INTERLOCUTOR,,,,,,,
199,Lesson 7,Someone heading out asks you along.,Vous venez ?,Are you coming?,INTERLOCUTOR,,,,,,,
200,Lesson 7,The evening version of the goodbye you know.,Bonne soirée !,Have a good evening!,INTERLOCUTOR,,,,,,,
201,Lesson 7,The daytime version.,Bonne journée !,Have a good day!,INTERLOCUTOR,,,,,,,
202,Lesson 7,Heard when you say you're heading home.,Bonne route !,Safe trip!,INTERLOCUTOR,,,,,,,
203,Lesson 7,Said when you'll be back the next day.,À demain.,See you tomorrow.,INTERLOCUTOR,,,,,,,
204,Lesson 7,Said when the next time is vaguer.,À bientôt.,See you soon.,INTERLOCUTOR,,,,,,,
205,Lesson 7,One natural way to close a working day.,"Au revoir, à demain !","Goodbye, see you tomorrow!",MODEL,,,,,,,
206,Lesson 7,The warmer close you already know.,Merci beaucoup. Au revoir.,Thank you very much. Goodbye.,MODEL,,,,,,,
207,Lesson 7,Turning down one last coffee.,"Non merci, je vais à la maison.","No thanks, I'm going home.",MODEL,,,,,,,
208,Lesson 7,Leaving a conversation that is still going.,"Excusez-moi, je vais à la maison.","Excuse me, I'm going home.",MODEL,,,,,,,
209,Lesson 7,"The reason, then the move.",Je suis fatigué. Je vais à la maison.,I'm tired. I'm going home.,MODEL,,,,,,,
210,Lesson 7,Heard now; you will say it yourself next lesson.,Je vais faire une pause.,I'm going to take a break.,READ/LISTEN,,,,,,,
211,Lesson 7,Still there when the goodbyes come fast.,Je ne comprends pas.,I don't understand.,SUPPORTED,,,,,,,
212,Lesson 7,"On its own, at the door.",Au revoir.,Goodbye.,PRODUCE,,,,,,,
213,Lesson 8,You're looking for a room and can't see it.,C'est où ?,Where is it?,PRODUCE,,,,,,,
214,Lesson 8,Now you're the one who knows.,C'est ici.,It's here.,PRODUCE,,,,,,,
215,Lesson 8,"The same answer, pointing a little further.",C'est là.,It's there.,PRODUCE,,,,,,,
216,Lesson 8,"Naming the thing first, then asking.","Le café, c'est où ?","The café, where is it?",PRODUCE,,,,,,,
217,Lesson 8,Answering a where-question honestly.,Ce n'est pas ici.,It's not here.,PRODUCE,,,,,,,
218,Lesson 8,Opening politely before you ask.,"Bonjour, c'est où ?","Hello, where is it?",PRODUCE,,,,,,,
219,Lesson 8,Stopping a stranger in a corridor.,"Excusez-moi, c'est où ?","Excuse me, where is it?",PRODUCE,,,,,,,
220,Lesson 8,The one word that turns a statement into a question.,où,where,SUPPORTED,,,,,,,
221,Lesson 8,The frame that carries both the question and the answer.,c'est,it is / this is,SUPPORTED,,,,,,,
222,Lesson 8,The full polite version of the ask.,"Excusez-moi, le café c'est où, s'il vous plaît ?","Excuse me, where's the café, please?",MODEL,,,,,,,
223,Lesson 8,The same pattern with a different place.,"La maison, c'est où ?","The house, where is it?",READ/LISTEN,,,,,,,
224,Lesson 8,"The question you will need first, heard here.","Les toilettes, c'est où ?",Where are the toilets?,READ/LISTEN,,,,,,,
225,Lesson 8,"Shown as a contrast: the fuller, more written way to ask.",Où est le café ?,Where is the café?,CONTRAST,,,,,,,
226,Lesson 8,Confirming when someone asks you.,"Oui, c'est ici.","Yes, it's here.",PRODUCE,,,,,,,
227,Lesson 8,The other half of the same answer.,"Non, ce n'est pas ici.","No, it's not here.",MODEL,,,,,,,
228,Lesson 8,The answer you will get most often.,C'est là-bas.,It's over there.,INTERLOCUTOR,,,,,,,
229,Lesson 8,"The same answer, with a gesture.",C'est par là.,It's that way.,INTERLOCUTOR,,,,,,,
230,Lesson 8,Someone walks you towards it.,Par ici.,This way.,INTERLOCUTOR,,,,,,,
231,Lesson 8,Part of the answer you must be able to follow.,À droite.,On the right.,INTERLOCUTOR,,,,,,,
232,Lesson 8,Its opposite.,À gauche.,On the left.,INTERLOCUTOR,,,,,,,
233,Lesson 8,The third direction you will hear.,Tout droit.,Straight ahead.,INTERLOCUTOR,,,,,,,
234,Lesson 8,Heard inside a building.,C'est au fond.,It's at the back.,INTERLOCUTOR,,,,,,,
235,Lesson 8,Someone notices you standing lost.,Vous cherchez quelque chose ?,Are you looking for something?,INTERLOCUTOR,,,,,,,
236,Lesson 8,"The same offer, more directly.",Je peux vous aider ?,Can I help you?,INTERLOCUTOR,,,,,,,
237,Lesson 8,Asked on the phone when you can't be found.,Vous êtes où ?,Where are you?,INTERLOCUTOR,,,,,,,
238,Lesson 8,The honest answer you will sometimes get.,Je ne sais pas.,I don't know.,INTERLOCUTOR,,,,,,,
239,Lesson 8,Directions come fast; this is the way out.,Je ne comprends pas. Vous pouvez répéter ?,I don't understand. Can you say that again?,SUPPORTED,,,,,,,
240,Lesson 8,Stopping the directions politely.,"Excusez-moi, je ne comprends pas.","Excuse me, I don't understand.",SUPPORTED,,,,,,,
