number,lesson,french_chunk,english_meaning,situation_or_use,verdict,preferred_correction,short_note,reviewer_name,review_date
53,Lesson 4,froid,cold,Heard in examples only.,,,,,
54,Lesson 4,chaud,hot,Heard in examples only.,,,,,
55,Lesson 4,vous avez,do you have / are you,The question pointed at you; heard only.,,,,,
56,Lesson 4,dites-moi,tell me,The invitation to speak.,,,,,
57,Lesson 4,je vous écoute,I'm listening,A warmer invitation.,,,,,
58,Lesson 4,allez-y,go ahead,Heard when it is your turn.,,,,,
59,Lesson 4,bien sûr,of course,The easy yes.,,,,,
60,Lesson 4,une petite question,a small question,A lighter way to open an ask.,,,,,
61,Lesson 4,je suis,I am,Now standing next to j'ai for contrast.,,,,,
62,Lesson 5,un café,a coffee,"The package, now taught as the unit.",,,,,
63,Lesson 5,une question,a question,"The other package, with the other little word.",,,,,
64,Lesson 5,un thé,a tea,A second un package.,,,,,
65,Lesson 5,une table,a table,A une package you can ask for.,,,,,
66,Lesson 5,un croissant,a croissant,A un package you can ask for.,,,,,
67,Lesson 5,un restaurant,a restaurant,Heard in passing.,,,,,
68,Lesson 5,une maison,a house,Heard in passing; needed later.,,,,,
69,Lesson 5,et avec ceci ?,anything else?,The line every counter says.,,,,,
70,Lesson 5,c'est tout ?,is that everything?,"The same check, more plainly.",,,,,
71,Lesson 5,voilà,here you are,Still heard at every handover.,,,,,
72,Lesson 5,je voudrais,I would like,Still carrying every request.,,,,,
73,Lesson 5,j'ai,I have,Still carrying the question.,,,,,
74,Lesson 5,s'il vous plaît,please,Still softening every ask.,,,,,
75,Lesson 6,au revoir,goodbye,Closes the arc that bonjour opened.,,,,,
76,Lesson 6,bonne journée,have a good day,The close you will hear most often.,,,,,
77,Lesson 6,à bientôt,see you soon,Heard when you are expected back.,,,,,
78,Lesson 6,je vous en prie,you're welcome,The formal reply to thanks.,,,,,
79,Lesson 6,de rien,it's nothing,The everyday reply to thanks.,,,,,
80,Lesson 6,bonjour,hello,Opening the moment.,,,,,
81,Lesson 6,je suis,I am,Placing yourself inside it.,,,,,
82,Lesson 6,j'ai,I have,Opening your reason for being there.,,,,,
83,Lesson 6,une question,a question,The reason itself.,,,,,
84,Lesson 6,merci,thank you,Closing it.,,,,,
85,Lesson 6,non merci,no thanks,Declining the coffee on the way through.,,,,,
86,Lesson 6,excusez-moi,excuse me,Getting attention inside the room.,,,,,
87,Lesson 7,je vais,I'm going,Says where you are heading.,,,,,
88,Lesson 7,à la maison,home,"A destination, learned whole.",,,,,
89,Lesson 7,au café,to the café,"A second destination, learned the same way.",,,,,
90,Lesson 7,je ne vais pas,I'm not going,"The wrap on the new shape; shown, not required.",,,,,
91,Lesson 7,j'y vais,I'm off,The shortest way to announce leaving; heard only.,,,,,
92,Lesson 7,on y va,let's go,Said by the group; heard only.,,,,,
93,Lesson 7,vous allez,you are going,The question pointed at you; heard only.,,,,,
94,Lesson 7,bonne soirée,have a good evening,The evening close.,,,,,
95,Lesson 7,à demain,see you tomorrow,Said when you'll be back.,,,,,
96,Lesson 7,bonne route,safe trip,Heard when you say you're heading home.,,,,,
97,Lesson 7,au revoir,goodbye,Closing the door behind you.,,,,,
98,Lesson 7,merci,thank you,Thanking the moment before you go.,,,,,
99,Lesson 8,c'est où,where is it,"The whole question, taken as one piece.",,,,,
100,Lesson 8,où,where,The one word that asks.,,,,,
101,Lesson 8,c'est,it is / this is,Carries both the question and the answer.,,,,,
102,Lesson 8,le café,the café,Naming the place you are asking about.,,,,,
103,Lesson 8,là-bas,over there,The answer you will hear most.,,,,,
104,Lesson 8,par là,that way,"The same answer, with a gesture.",,,,,
105,Lesson 8,à droite,on the right,Part of any direction.,,,,,
106,Lesson 8,à gauche,on the left,Its opposite.,,,,,
107,Lesson 8,tout droit,straight ahead,The third direction.,,,,,
108,Lesson 8,au fond,at the back,Heard inside a building.,,,,,
109,Lesson 8,je ne sais pas,I don't know,The honest answer you will sometimes get.,,,,,
110,Lesson 8,je peux vous aider ?,can I help you?,The offer of help; heard only.,,,,,
111,Lesson 8,ici,here,Now the answer rather than the place.,,,,,
112,Lesson 8,ce n'est pas,it is not,Answering where in the negative.,,,,,
113,Lesson 9,faire une pause,to take a break,"An action, carried by je voudrais.",,,,,
114,Lesson 9,une pause,a break,"The thing itself, beside the action.",,,,,
115,Lesson 9,maintenant,now,Says when.,,,,,
116,Lesson 9,on fait une pause ?,shall we take a break?,Suggesting it to the group; heard only.,,,,,
117,Lesson 9,je ne veux pas,I don't want to,"Refusing the break; shown, not required.",,,,,
118,Lesson 9,cinq minutes,five minutes,How long the break will be.,,,,,
119,Lesson 9,bonne idée,good idea,The warm agreement.,,,,,
120,Lesson 9,ça va ?,are you all right?,Asked when you look like you need to stop.,,,,,
121,Lesson 9,je voudrais,I would like,"Now carrying an action, not just a thing.",,,,,
122,Lesson 9,je vais,I'm going,Announcing the break instead of asking.,,,,,
123,Lesson 9,s'il vous plaît,please,Still softening the ask.,,,,,
124,Lesson 9,soif,thirst,The state that leads to the request.,,,,,
125,Lesson 10,vous pouvez m'aider ?,can you help me?,Listen only — it arrives next lesson.,,,,,
126,Lesson 10,merci pour tout,thanks for everything,Closing a first day.,,,,,
127,Lesson 10,bonjour,hello,Opening the day.,,,,,
128,Lesson 10,c'est où,where is it,The first question of the morning.,,,,,
129,Lesson 10,je suis,I am,Placing yourself when you arrive.,,,,,
130,Lesson 10,en retard,late,On the morning that went wrong.,,,,,
131,Lesson 10,j'ai,I have,The question you brought.,,,,,
132,Lesson 10,soif,thirst,What sends you to the café at midday.,,,,,
133,Lesson 10,je voudrais,I would like,Asking for the break and the drink.,,,,,
134,Lesson 10,faire une pause,to take a break,The middle of the day.,,,,,
135,Lesson 10,je vais,I'm going,The end of it.,,,,,
136,Lesson 10,à la maison,home,Where you are heading.,,,,,
137,Lesson 10,au revoir,goodbye,Closing the day as it opened.,,,,,
138,Lesson 10,je ne comprends pas,I don't understand,The move that rescues the whole day.,,,,,
139,Lesson 10,vous pouvez répéter ?,can you say that again?,Its other half.,,,,,
140,Lesson 10,excusez-moi,excuse me,The opener that worked all day.,,,,,
