candidate_id,lesson,communicative_moment,preferred_french,english_meaning,natural_alternatives,scene,register,learner_role,production_status,expected_action,active_new_chunks,recycled_chunks,protected_package,first_contact_lesson,first_production_lesson,reuse_lessons,current_surface_status,current_surface_reference,rationale,founder_verdict,founder_note,human_qa_verdict,reviewer_correction,reviewer_natural_alternatives,reviewer_register_note,reviewer_rationale,reviewer_name,review_date
C-L02-08,L2,Asking the other person,Vous êtes prêt ?,Are you ready?,,Ghost: the same shape pointed at someone else.,vous / stranger-facing,ghost,ghost / exposure only,read,,chunk-vous-etes-pret,n/a — exposure only; uses DORMANT registered chunk-vous-etes-pret,L2,never produced,none,ADD,L2: no current surface,"Uses a dormant registered item at zero registry cost. The learner hears that French has a second person long before any conjugation lesson, which stops je suis reading as 'the verb'.",,,,,,,,,
C-L02-09,L2,The full small arrival,Bonjour. Je suis ici. Merci.,Hello. I'm here. Thank you.,,Open-task model: the whole arrival in three owned pieces.,vous / neutral,model,model only,read,,chunk-bonjour chunk-je-suis chunk-merci,three owned pieces in sequence,L2,never produced,L6,ADD,L2: no current surface,L2's open task currently models the same sentence the weaves already produced. A three-beat model shows recombination without asking for anything new.,,,,,,,,,
C-L03-01,L3,Say you are not where they think,Je ne suis pas ici.,I am not here.,,Someone is looking for you in the wrong room.,vous / neutral,core-production,produced (typed),type,chunk-je-ne-suis-pas,chunk-je-suis,"je ne suis pas is a PROTECTED_CHUNK (canon frame, frozen set)",L3,L3,L6,KEEP,L3: L3/s06-weave-je-ne-suis-pas-ici,"The negation frame, taught whole. Keep.",,,,,,,,,
C-L03-02,L3,Say this is not the place,Ce n'est pas ici.,It is not here.,,Someone points to the wrong place.,vous / neutral,core-production,produced (typed),type,chunk-ce-n-est-pas,chunk-ce-n-est-pas,"ce n'est pas is a PROTECTED_CHUNK (canon frame, frozen set)",L3,L3,L8,REVISE/ADD,L3: L3/s07-weave-ce-n-est-pas-ici || L8: no current surface in L8 (frame produced in L3/s07),"Sentence kept. Its accepted alternatives must go: 'Ce n est pas ici' and 'Ce n est pas ici.' accept a MISSING apostrophe, which contradicts normalizeAnswer.ts ('a missing apostrophe is NOT silently accepted as correct') on the very frame where the elision is the teaching point. Founder decision D-02.",,,,,,,,,
C-L03-03,L3,"Answer no, then say why","Non, je ne suis pas ici.","No, I am not here.",,"Answer first, then say where you are not.",vous / neutral,core-production,produced (typed),type,chunk-non,chunk-je-ne-suis-pas,non chip + protected negation frame,L3,L3,none,KEEP,L3: L3/s08-weave-non-je-ne-suis-pas-ici,Answer-plus-sentence is how a real refusal sounds. Keep.,,,,,,,,,
C-L03-04,L3,Refuse an offer politely,Non merci.,No thank you.,"Non, merci.",Someone offers you something you don't want.,vous / stranger-facing,core-production,produced (typed),type,,chunk-non chunk-merci,non merci is one formula,L3,L3,L6,REVISE,L3: L3/s05-fill-refuse-politely (currently CHOOSE only),"The single most useful sentence in the lesson is currently only ever tapped, never written. A learner who has only chosen it from three options has not produced a refusal. Promote to typed production. Note the surface appears in four punctuations across the pack ('non merci', 'Non merci.', 'Non, merci.', 'Non merci') — one preferred form plus one alternative, not four.",,,,,,,,,
C-L03-05,L3,Say you did not understand,Je ne comprends pas.,I don't understand.,,They answered quickly and you caught none of it.,vous / neutral,core-production,produced (typed),type,,grammar-ne-pas-sandwich,"SURVIVAL FORMULA — learned whole (Payload Economy v0 §4.1), never composed from ne + comprends + pas",L1,L3,L1 L9 L10,ADD,L1: no current surface || L3: no current surface (item chunk-je-ne-comprends-pas is registered and dormant),"Repair is the biggest functional hole across L1-L10 and it belongs here: it IS the ne...pas sandwich the lesson teaches, so it costs no new grammar and pays the lesson's own rule back immediately. Uses a dormant registered item — no new registry entry.",,,,,,,,,
C-L03-06,L3,Ask them to say it again,Vous pouvez répéter ?,Can you say that again?,,"The other half of the repair pair, shown beside it.",vous / stranger-facing,recognition,recognition only,read,,,SURVIVAL FORMULA — learned whole (Payload Economy v0 §4.1),L3,L10,L9 L10,ADD,L3: no current surface (item chunk-vous-pouvez-repeter is registered and dormant),"Repair is a pair: saying you did not understand without being able to ask for a repeat leaves the learner stuck. Recognition in L3, produced in L10's integration. Dormant registered item — no new registry entry.",,,,,,,,,
C-L03-07,L3,Answer yes,Oui.,Yes.,"Oui, c'est ça.","The fastest answer in French, beside its opposite.",vous / neutral,recognition,recognition only,choose,chunk-oui,,single chip,L3,never produced,L8,KEEP,L3: L3/s04-insight-oui-non example,"Payload Economy v0 §4.2 rehabilitates oui as a producible answer word. Kept as recognition inside L1-L10 because no current or proposed scene needs a bare yes as a written answer; the alternative 'Oui, c'est ça.' is listed for the reviewer but not produced.",,,,,,,,,
C-L03-08,L3,"Answer yes, and confirm the place","Oui, je suis ici.","Yes, I am here.",,Model beside the negative answer: both sides of the same call.,vous / neutral,model,model only,read,,chunk-oui chunk-je-suis,answer chip + owned frame,L3,never produced,none,ADD,L3: no current surface,L3 shows three ways to say no and no way to say yes in a sentence. One positive model stops the lesson reading as a negation drill.,,,,,,,,,
C-L03-09,L3,It is not a problem,Pas de problème.,No problem.,,Ghost: what you will hear back after a refusal.,vous / neutral,ghost,ghost / exposure only,read,,,n/a — exposure only,L3,never produced,none,ADD,L3: no current surface,Payload Economy v0 §6 lists pas de problème as the L3 ghost. The learner refuses things in this lesson and never hears the reply; one exposure closes the exchange.,,,,,,,,,
C-L03-10,L3,Negate the state you just learned,Je ne suis pas en retard.,I'm not late.,,Model: the frame turns any je suis sentence around.,vous / neutral,model,model only,read,,chunk-je-ne-suis-pas,protected negation frame + L2 cargo,L3,never produced,none,ADD,L3: no current surface,"Every negation the lesson shows ends in 'ici'. One model on a different complement proves the frame is a shape rather than a phrase, and pays back L2's new cargo immediately.",,,,,,,,,
C-L04-01,L4,Say you are hungry,J'ai faim.,I'm hungry.,,It is past noon and you have not eaten.,vous / neutral,core-production,produced (typed),type,chunk-j-ai,,j'ai is one elided frame; faim is bare (no article) — this is the teaching point,L4,L4,L6 L10,REVISE,L4: L4/s05-weave-j-ai-faim,"Sentence kept. Its accepted alternatives 'J ai faim', 'J ai faim.' and 'j ai faim' must go: they accept a missing apostrophe on the exact elision the lesson exists to teach (insight s04 is about j' itself). Founder decision D-02.",,,,,,,,,
C-L04-02,L4,Open with a question you have,"Bonjour, j'ai une question.","Hello, I have a question.",Bonjour. J'ai une question.,You step up to ask someone something.,vous / stranger-facing,core-production,produced (typed),type,,chunk-bonjour chunk-j-ai,une question is a package,L4,L4,L5 L6,REVISE,L4: L4/s06-weave-bonjour-j-ai-une-question,"Sentence kept; same apostrophe-dropping alternatives must go. Note the pack found this surface glossed as 'question' on L4/s03 and 'a question' on L5 — one gloss, please (founder decision D-03).",,,,,,,,,
C-L04-03,L4,Say you are thirsty,J'ai soif.,I'm thirsty.,,"A long afternoon, and you have not had anything to drink.",vous / neutral,core-production,produced (typed),type,,chunk-j-ai noun-soif,"soif is bare, like faim — the pair is the lesson",L4,L4,L9 L10,ADD,L4: no current surface,"faim alone cannot show that avoir-for-states is a pattern; one instance is a phrase, two is a shape. soif takes no article and no gender, costs no grammar, and connects straight to the drinks the learner can already order. Named by Payload Economy v0 §6. Needs one new registry entry (planned, not created).",,,,,,,,,
C-L04-04,L4,Offer an idea,J'ai une idée.,I have an idea.,,Something has stalled and you can see a way through.,vous / neutral,core-production,produced (typed),type,,chunk-j-ai noun-idee,une idée is a package; note the elided une idée / l'idée distinction is NOT taught here,L4,L4,none,ADD,L4: no current surface (item noun-idee is registered and dormant),"Gives j'ai a third job — feeling, thing to ask, thing to offer — so the engine reads as general rather than as two memorised lines. Uses the DORMANT registered noun-idee, which Payload Economy v0 §6 explicitly earmarks ('the R4 payoff'). No new registry entry.",,,,,,,,,
C-L04-07,L4,"Cold and hot, the same way",J'ai froid.,I'm cold.,,Insight example: the pattern reaches further than hunger.,vous / neutral,ghost,ghost / exposure only,read,,chunk-j-ai,n/a — exposure only,L4,never produced,none,ADD,L4: no current surface,"Payload Economy v0 §6 lists j'ai froid / j'ai chaud as L4 ghosts, examples only. Two more instances make avoir-for-states unmistakable without adding anything the learner must produce. Shown on the same card beside J'ai chaud. — a sibling example, not an alternative wording of this sentence.",,,,,,,,,
C-L04-08,L4,Being versus having,"Je suis fatigué, et j'ai faim.","I'm tired, and I'm hungry.",,Micro-contrast example: French splits these two feelings across two engines.,vous / neutral,recognition,recognition only,read,,chunk-je-suis chunk-j-ai chunk-fatigue,"recognition only — carries the gender-marked fatigué, see D-04",L4,never produced,L10,ADD,L4: supplements L4/s01-insight-have-for-feelings,"The insight already contrasts je suis and j'ai using ici and faim — a place against a feeling, which is not the real contrast. Two FEELINGS split across the two engines is the point, and it is what actually surprises an English speaker.",,,,,,,,,
C-L05-01,L5,Ask for a coffee with its package,Je voudrais un café.,I would like a coffee.,,"Order at the counter, with the right little word.",vous / stranger-facing,core-production,produced (typed),type,chunk-un-cafe,chunk-je-voudrais,un café taught as ONE package — see founder decision D-01 (un café vs café),L1,L5,L9,KEEP,L5: L5/s05-weave-je-voudrais-un-cafe || L9: L9/s10-insight-what-you-can-ask examples,"Keep. The lesson's job is the package boundary, and this sentence is where it lands.",,,,,,,,,
C-L05-02,L5,"Say you have a question, with its package",J'ai une question.,I have a question.,,You want to ask something. Use the right little word.,vous / neutral,core-production,produced (typed),type,chunk-une-question,chunk-j-ai,une question taught as ONE package — see founder decision D-01,L4,L5,L4 L6,KEEP/REVISE,L4: L4/s03-meet-j-ai-une-question || L5: L5/s06-weave-j-ai-une-question (also produced at L6/s05),"Sentence kept, apostrophe-dropping alternatives removed (D-02). L6 must stop re-producing it: L5 owns the first production, L6 recycles it in a model. Removes the L5/L6 duplicate flagged as C2.",,,,,,,,,
C-L05-03,L5,Ask for a table,"Je voudrais une table, s'il vous plaît.","I would like a table, please.","Une table, s'il vous plaît.",You step into a small restaurant at lunchtime.,vous / stranger-facing,core-production,produced (typed),type,,chunk-je-voudrais chunk-sil-vous-plait chunk-une-table,une table is a package,L5,L5,none,ADD,L5: no current surface,"The lesson teaches un versus une with exactly one example of each, and the une example is an abstract noun the learner asks about rather than for. une table is concrete, requestable, and puts the une package inside the same je voudrais frame as un café — which is the comparison the lesson is actually making. Named by Payload Economy v0 §6. Needs one new registry entry (planned).",,,,,,,,,
C-L05-04,L5,Ask for a croissant,"Je voudrais un croissant, s'il vous plaît.","I would like a croissant, please.","Un croissant, s'il vous plaît.","The counter again, and this time you are hungry.",vous / stranger-facing,core-production,produced (typed),type,,chunk-je-voudrais chunk-sil-vous-plait chunk-un-croissant,un croissant is a package,L1,L5,L1,ADD,L1: no current surface || L5: no current surface (ghosted in L1 per C-L01-08),"A second un package, so the un side is a pattern rather than one word. Ghosted in L1 and produced here, which is the spiral working as designed. Named by Payload Economy v0 §6. Needs one new registry entry (planned).",,,,,,,,,
C-L05-05,L5,The package alone,un café,a coffee,,Meet cards and package chips: the noun never travels alone.,neutral (no addressee),recognition,recognition only,choose,,,the package IS the chip — never café on its own (D-01),L1,never produced,L1 L9,KEEP,"L5: L5/s00-meet-un-cafe, s01-meet-une-question, s03/s04/s04b fills","Keep the package chips. The alternatives column lists the full package set the lesson should be able to show by the end. The package set the lesson should be able to show by the end — une question, un thé, une table, un croissant — appears alongside on the same chips, as siblings rather than as alternative wordings of un café.",,,,,,,,,
C-L05-06,L5,The bare noun trap,question,"question (bare, no package)",un question,"Trap options: the noun without its little word, and the wrong little word.",neutral (no addressee),contrast,recognition only,choose,,,n/a — trap only; must never be accepted,L5,never produced,none,KEEP,L5: L5/s04b-fill-choose-package options,"Keep. This is the trap that makes D-01 visible to the learner: the package is the unit, the bare noun is not.",,,,,,,,,
C-L06-02,L6,Close a moment,"Merci, au revoir.","Thank you, goodbye.",Merci. Au revoir.,"You are about to leave. Thank them, then close.",vous / stranger-facing,core-production,produced (typed),type,chunk-au-revoir,chunk-merci,au revoir is one formula,L6,L6,L7 L10,KEEP,L6: L6/s08-weave-close-open,The bonjour → au revoir arc closes here. Keep. Note this makes L6 a 1-active-new lesson rather than a 0-active-new integration; founder decision D-05.,,,,,,,,,
C-L06-03,L6,"Decline, then say what you came for",Non merci. J'ai une question.,No thank you. I have a question.,,"Inside, someone offers you a coffee, but you came to ask something.",vous / stranger-facing,core-production,produced (typed),type,,chunk-non-merci chunk-j-ai chunk-une-question,two owned formulas in sequence,L6,L6,none,ADD,L6: no current surface,"L6 is the integration lesson and currently integrates by re-typing single sentences it already owns. This joins a refusal (L3) to a request (L4/L5) in one move, which is what integration means. No new lexis — Payload Economy v0 §6 requires L6 to add none.",,,,,,,,,
C-L06-04,L6,"Get attention, then open your question","Excusez-moi, j'ai une question.","Excuse me, I have a question.",,"There is one small thing you came to ask, and nobody has looked up.",vous / stranger-facing,core-production,produced (typed),type,,chunk-excusez-moi chunk-j-ai chunk-une-question,excusez-moi formula + owned frame,L1,L4,L4 L10,REPLACE,"L4: replaces the open task at L4/s07-sayit-how-you-feel, whose model 'J'ai faim.' repeats the weave verbatim || L6: replaces the second production slot at L6/s05-weave-j-ai-une-question, which duplicates L5",Keeps the lesson's communicative job (open your question) while removing the L5/L6 duplicate and adding the move the learner will actually need at a real door.,,,,,,,,,
C-L06-05,L6,"The whole moment, door to goodbye",Bonjour. Je suis ici. J'ai une question. Merci. Au revoir.,Hello. I'm here. I have a question. Thank you. Goodbye.,"Bonjour. J'ai une question. Merci. Au revoir. | Bonjour. Je suis ici. J'ai une question. Merci, au revoir.",You arrive for a small first meeting and carry the whole arc.,vous / stranger-facing,core-production,produced (open task),free-produce,,chunk-bonjour chunk-je-suis chunk-j-ai chunk-merci chunk-au-revoir,five owned pieces in sequence — the lesson's target performance,L6,L6,L10,KEEP,L6: L6/s09-sayit-whole-moment,"The strongest surface in the current ten lessons. Keep exactly, including its answer bands.",,,,,,,,,
C-L06-06,L6,Arrive when you are late,"Bonjour. Excusez-moi, je suis en retard.","Hello. Excuse me, I'm late.",,"Model: the same arrival, on a day that did not go to plan.",vous / stranger-facing,model,model only,read,,chunk-bonjour chunk-excusez-moi chunk-je-suis,owned formulas in sequence,L6,never produced,L10,ADD,L6: no current surface,"The integration lesson runs one scene, one way. A second arrival variant shows the same pieces answering a different day, which is the difference between integration and repetition.",,,,,,,,,
C-L06-07,L6,From hello to goodbye,Bonjour.,Hello.,,Culture card: a French moment opens and closes with a word.,vous / stranger-facing,recognition,recognition only,read,,chunk-bonjour chunk-au-revoir,single chips,L1,L1,L7 L10,KEEP,L6: L6/s00-insight-bonjour-to-au-revoir examples,"Keep. The arc framing is what makes L6 feel like a moment rather than a review. Shown on the same culture card beside Au revoir. — the two ends of the arc, not two ways of saying one thing.",,,,,,,,,
C-L06-08,L6,Step in and open your question,Bonjour. Je suis ici. J'ai une question.,Hello. I'm here. I have a question.,Bonjour. J'ai une question.,"You have just stepped in. Greet them, say you are here, and open your one small question.",vous / stranger-facing,core-production,produced (open task),free-produce,,chunk-bonjour chunk-je-suis chunk-j-ai chunk-une-question,three owned pieces in the order a real moment uses them,L6,L6,none,KEEP,L6: L6/s07-sayit-step-in,"The three-beat arrival, one step below the full five-beat moment. Keep both: the shorter one is the rehearsal for the longer.",,,,,,,,,
C-L07-01,L7,Say you are heading home,Je vais à la maison.,I'm going home.,,The evening is winding down. Let them know where you're heading.,vous / neutral,core-production,produced (typed),type,chunk-je-vais,chunk-je-vais chunk-au-revoir,"je vais is one frame; à la maison is ONE package, never split into à + la + maison",L7,L7,L10,KEEP,L7: L7/s04-weave-heading-home || L7: L7/s10-insight-leaving-two-moves examples,"The third engine. Keep, including the s08 fill that guards the à la maison boundary.",,,,,,,,,
C-L07-02,L7,"Say where you're going, then leave",Je vais à la maison. Au revoir.,I'm going home. Goodbye.,"Je vais à la maison, au revoir.",You're at the door. Close it the way you did before.,vous / neutral,core-production,produced (typed),type,,chunk-je-vais chunk-a-la-maison chunk-au-revoir,two sentences; the comma variant runs them as one breath,L7,L7,L10,REVISE,L7: L7/s05-weave-close-the-moment (also produced at L10/s05),"Sentence kept and its alternative is genuinely natural. But it is typed again, unchanged, in L10 — the same sentence cannot be new twice. L10 should recycle it inside a longer leave-taking (C-L10-03) rather than re-produce it alone.",,,,,,,,,
C-L07-03,L7,Say you're going to the café,Je vais au café.,I'm going to the café.,,Midday. Someone asks where you're off to.,vous / neutral,core-production,produced (typed),type,,chunk-je-vais chunk-au-cafe,"au café is ONE package (au = à + le, taught whole, never decomposed)",L7,L7,L10,ADD,L7: no current surface,"je vais currently has exactly one destination, so the engine is indistinguishable from the phrase 'je vais à la maison'. A second destination makes it a shape. au café reuses a place the learner has been ordering from since L1, and is taught as a package exactly like à la maison — no à + le rule. Needs one new registry entry (planned).",,,,,,,,,
C-L07-05,L7,Say where you are NOT going,Je ne vais pas à la maison.,I'm not going home.,,Model: the negation frame reaches the new engine too.,vous / neutral,model,model only,read,,chunk-je-vais grammar-ne-pas-sandwich,"composed negation — NOT a protected chunk; shown, not produced",L7,never produced,none,ADD,L7: no current surface,"The L7 syllabus spec's can-do includes saying where you are not going. Shown as a model rather than produced, because ne...pas around vais is a composition and the protected-chunk set is deliberately frozen at two frames.",,,,,,,,,
C-L08-01,L8,Ask where something is,C'est où ?,Where is it?,,You're looking for the room. Someone friendly is standing nearby.,vous / stranger-facing,core-production,produced (typed),type,chunk-c-est-ou,,c'est où ? taken whole; the question mark is meaning-bearing and normalization keeps it,L8,L8,L10,REVISE,L8: L8/s04-weave-ask-where,"Sentence kept. Its accepted alternatives ""C'est où"" and ""c'est où"" both normalize to the same string as each other (case is folded), so one of the two is dead weight; and dropping the question mark is accepted here while the reveal teaches that the rising tone does the asking. Founder decision D-06.",,,,,,,,,
C-L08-02,L8,Answer that it is here,C'est ici.,It's here.,,Now you're the local. Someone asks you C'est où ?,vous / neutral,core-production,produced (typed),type,,chunk-c-est,c'est frame + ici,L3,L8,L10,KEEP,L8: L8/s05-weave-answer-here,Both sides of one exchange is the right shape for this lesson. Keep.,,,,,,,,,
C-L08-03,L8,Ask where a named place is,"Le café, c'est où ?","The café, where is it?",,"You know what you're looking for, and you can name it.",vous / stranger-facing,core-production,produced (typed),type,,chunk-c-est-ou chunk-le-cafe,le café is a package (definite) — see founder decision D-07,L8,L8,none,ADD,L8: promotes L8/s02-insight-ou-frozen example and L8/s10-reveal-both-sides natAlt,"This is already on screen twice as an example and never produced, yet it is the whole generalization: name a thing, then ask. Without it the learner leaves L8 able to ask 'where is it?' only when 'it' is already obvious. Introduces le, which the lesson does not otherwise teach — founder decision D-07 (teach le café as a package, or keep this recognition-only). La maison, c'est où ? is the same pattern with a different noun, shown as a sibling example rather than an alternative wording.",,,,,,,,,
C-L08-06,L8,"Yes here, no not here","Oui, c'est ici.","Yes, it's here.",,Model pair: both answers to the same question.,vous / neutral,model,model only,read,,chunk-oui chunk-non chunk-c-est,answer chip + owned frame,L8,never produced,none,ADD,L8: no current surface,"Pays back L3's oui/non and gives the learner both replies to a question they will be asked as often as they ask it. Shown as a pair with Non, ce n'est pas ici. — the opposite answer, not an alternative wording.",,,,,,,,,
