lesson,surface,item_id,proposed_item_id,source,category,reason,risk,in_lesson_surface,add_to_registry_now
L8,je voudrais,chunk-je-voudrais,,owned inventory (carryover pool),Carryover,owned since L0; available for recombination,low,no,already-registered
L8,café,noun-cafe,,owned inventory (carryover pool),Carryover,owned since L0; available for recombination,low,no,already-registered
L8,s'il vous plaît,chunk-sil-vous-plait,,owned inventory (carryover pool),Carryover,owned since L0; available for recombination,low,no,already-registered
L8,merci,chunk-merci,,owned inventory (carryover pool),Carryover,owned since L1; available for recombination,low,no,already-registered
L8,je suis,chunk-je-suis,,owned inventory (carryover pool),Carryover,owned since L2; available for recombination,low,no,already-registered
L8,je suis ici,chunk-je-suis-ici,,owned inventory (carryover pool),Carryover,owned since L2; available for recombination,low,no,already-registered
L8,non,chunk-non,,owned inventory (carryover pool),Carryover,owned since L3; available for recombination,low,no,already-registered
L8,oui,chunk-oui,,owned inventory (carryover pool),Carryover,owned since L3; available for recombination,low,no,already-registered
L8,je ne suis pas,chunk-je-ne-suis-pas,,owned inventory (carryover pool),Carryover,owned since L3; available for recombination,low,no,already-registered
L8,ce n'est pas,chunk-ce-n-est-pas,,owned inventory (carryover pool),Carryover,owned since L3; available for recombination,low,no,already-registered
L8,non merci,chunk-non-merci,,owned inventory (carryover pool),Carryover,owned since L3; available for recombination,low,no,already-registered
L8,j'ai,chunk-j-ai,,owned inventory (carryover pool),Carryover,owned since L4; available for recombination,low,no,already-registered
L8,j'ai faim,chunk-j-ai-faim,,owned inventory (carryover pool),Carryover,owned since L4; available for recombination,low,no,already-registered
L8,j'ai une question,chunk-j-ai-une-question,,owned inventory (carryover pool),Carryover,owned since L4; available for recombination,low,no,already-registered
L8,question,noun-question,,owned inventory (carryover pool),Carryover,owned since L4; available for recombination,low,no,already-registered
L8,un café,chunk-un-cafe,,owned inventory (carryover pool),Carryover,owned since L5; available for recombination,low,no,already-registered
L8,une question,chunk-une-question,,owned inventory (carryover pool),Carryover,owned since L5; available for recombination,low,no,already-registered
L8,au revoir,chunk-au-revoir,,owned inventory (carryover pool),Carryover,owned since L6; available for recombination,low,no,already-registered
L8,je vais,chunk-je-vais,,owned inventory (carryover pool),Carryover,owned since L7; available for recombination,low,no,already-registered
L8,à la maison,chunk-a-la-maison,,owned inventory (carryover pool),Carryover,owned since L7; available for recombination,low,no,already-registered
L9,Bonjour,chunk-bonjour,,owned inventory (carryover pool),Carryover,owned since L0; available for recombination,low,no,already-registered
L9,café,noun-cafe,,owned inventory (carryover pool),Carryover,owned since L0; available for recombination,low,no,already-registered
L9,merci,chunk-merci,,owned inventory (carryover pool),Carryover,owned since L1; available for recombination,low,no,already-registered
L9,je suis,chunk-je-suis,,owned inventory (carryover pool),Carryover,owned since L2; available for recombination,low,no,already-registered
L9,je suis ici,chunk-je-suis-ici,,owned inventory (carryover pool),Carryover,owned since L2; available for recombination,low,no,already-registered
L9,non,chunk-non,,owned inventory (carryover pool),Carryover,owned since L3; available for recombination,low,no,already-registered
L9,oui,chunk-oui,,owned inventory (carryover pool),Carryover,owned since L3; available for recombination,low,no,already-registered
L9,je ne suis pas,chunk-je-ne-suis-pas,,owned inventory (carryover pool),Carryover,owned since L3; available for recombination,low,no,already-registered
L9,ce n'est pas,chunk-ce-n-est-pas,,owned inventory (carryover pool),Carryover,owned since L3; available for recombination,low,no,already-registered
L9,non merci,chunk-non-merci,,owned inventory (carryover pool),Carryover,owned since L3; available for recombination,low,no,already-registered
L9,j'ai,chunk-j-ai,,owned inventory (carryover pool),Carryover,owned since L4; available for recombination,low,no,already-registered
L9,j'ai faim,chunk-j-ai-faim,,owned inventory (carryover pool),Carryover,owned since L4; available for recombination,low,no,already-registered
L9,j'ai une question,chunk-j-ai-une-question,,owned inventory (carryover pool),Carryover,owned since L4; available for recombination,low,no,already-registered
L9,question,noun-question,,owned inventory (carryover pool),Carryover,owned since L4; available for recombination,low,no,already-registered
L9,un café,chunk-un-cafe,,owned inventory (carryover pool),Carryover,owned since L5; available for recombination,low,no,already-registered
L9,une question,chunk-une-question,,owned inventory (carryover pool),Carryover,owned since L5; available for recombination,low,no,already-registered
L9,au revoir,chunk-au-revoir,,owned inventory (carryover pool),Carryover,owned since L6; available for recombination,low,no,already-registered
L9,je vais,chunk-je-vais,,owned inventory (carryover pool),Carryover,owned since L7; available for recombination,low,no,already-registered
L9,à la maison,chunk-a-la-maison,,owned inventory (carryover pool),Carryover,owned since L7; available for recombination,low,no,already-registered
L9,c'est où ?,chunk-c-est-ou,,owned inventory (carryover pool),Carryover,owned since L8; available for recombination,low,no,already-registered
L9,où,adverb-ou-where,,owned inventory (carryover pool),Carryover,owned since L8; available for recombination,low,no,already-registered
L9,c'est,chunk-c-est,,owned inventory (carryover pool),Carryover,owned since L8; available for recombination,low,no,already-registered
L10,café,noun-cafe,,owned inventory (carryover pool),Carryover,owned since L0; available for recombination,low,no,already-registered
L10,s'il vous plaît,chunk-sil-vous-plait,,owned inventory (carryover pool),Carryover,owned since L0; available for recombination,low,no,already-registered
L10,merci,chunk-merci,,owned inventory (carryover pool),Carryover,owned since L1; available for recombination,low,no,already-registered
L10,je suis,chunk-je-suis,,owned inventory (carryover pool),Carryover,owned since L2; available for recombination,low,no,already-registered
L10,je suis ici,chunk-je-suis-ici,,owned inventory (carryover pool),Carryover,owned since L2; available for recombination,low,no,already-registered
L10,non,chunk-non,,owned inventory (carryover pool),Carryover,owned since L3; available for recombination,low,no,already-registered
L10,oui,chunk-oui,,owned inventory (carryover pool),Carryover,owned since L3; available for recombination,low,no,already-registered
L10,je ne suis pas,chunk-je-ne-suis-pas,,owned inventory (carryover pool),Carryover,owned since L3; available for recombination,low,no,already-registered
L10,ce n'est pas,chunk-ce-n-est-pas,,owned inventory (carryover pool),Carryover,owned since L3; available for recombination,low,no,already-registered
L10,non merci,chunk-non-merci,,owned inventory (carryover pool),Carryover,owned since L3; available for recombination,low,no,already-registered
L10,j'ai,chunk-j-ai,,owned inventory (carryover pool),Carryover,owned since L4; available for recombination,low,no,already-registered
L10,j'ai faim,chunk-j-ai-faim,,owned inventory (carryover pool),Carryover,owned since L4; available for recombination,low,no,already-registered
L10,j'ai une question,chunk-j-ai-une-question,,owned inventory (carryover pool),Carryover,owned since L4; available for recombination,low,no,already-registered
L10,question,noun-question,,owned inventory (carryover pool),Carryover,owned since L4; available for recombination,low,no,already-registered
L10,un café,chunk-un-cafe,,owned inventory (carryover pool),Carryover,owned since L5; available for recombination,low,no,already-registered
L10,une question,chunk-une-question,,owned inventory (carryover pool),Carryover,owned since L5; available for recombination,low,no,already-registered
L10,pause,noun-pause,,owned inventory (carryover pool),Carryover,owned since L9; available for recombination,low,no,already-registered
L11,Bonjour,chunk-bonjour,,owned inventory (carryover pool),Carryover,owned since L0; available for recombination,low,no,already-registered
L11,je voudrais,chunk-je-voudrais,,owned inventory (carryover pool),Carryover,owned since L0; available for recombination,low,no,already-registered
L11,café,noun-cafe,,owned inventory (carryover pool),Carryover,owned since L0; available for recombination,low,no,already-registered
L11,merci,chunk-merci,,owned inventory (carryover pool),Carryover,owned since L1; available for recombination,low,no,already-registered
L11,je suis,chunk-je-suis,,owned inventory (carryover pool),Carryover,owned since L2; available for recombination,low,no,already-registered
L11,je suis ici,chunk-je-suis-ici,,owned inventory (carryover pool),Carryover,owned since L2; available for recombination,low,no,already-registered
L11,non,chunk-non,,owned inventory (carryover pool),Carryover,owned since L3; available for recombination,low,no,already-registered
L11,oui,chunk-oui,,owned inventory (carryover pool),Carryover,owned since L3; available for recombination,low,no,already-registered
L11,je ne suis pas,chunk-je-ne-suis-pas,,owned inventory (carryover pool),Carryover,owned since L3; available for recombination,low,no,already-registered
L11,ce n'est pas,chunk-ce-n-est-pas,,owned inventory (carryover pool),Carryover,owned since L3; available for recombination,low,no,already-registered
L11,non merci,chunk-non-merci,,owned inventory (carryover pool),Carryover,owned since L3; available for recombination,low,no,already-registered
L11,j'ai,chunk-j-ai,,owned inventory (carryover pool),Carryover,owned since L4; available for recombination,low,no,already-registered
L11,j'ai faim,chunk-j-ai-faim,,owned inventory (carryover pool),Carryover,owned since L4; available for recombination,low,no,already-registered
L11,j'ai une question,chunk-j-ai-une-question,,owned inventory (carryover pool),Carryover,owned since L4; available for recombination,low,no,already-registered
L11,question,noun-question,,owned inventory (carryover pool),Carryover,owned since L4; available for recombination,low,no,already-registered
L11,un café,chunk-un-cafe,,owned inventory (carryover pool),Carryover,owned since L5; available for recombination,low,no,already-registered
L11,une question,chunk-une-question,,owned inventory (carryover pool),Carryover,owned since L5; available for recombination,low,no,already-registered
L11,au revoir,chunk-au-revoir,,owned inventory (carryover pool),Carryover,owned since L6; available for recombination,low,no,already-registered
L11,je vais,chunk-je-vais,,owned inventory (carryover pool),Carryover,owned since L7; available for recombination,low,no,already-registered
L11,à la maison,chunk-a-la-maison,,owned inventory (carryover pool),Carryover,owned since L7; available for recombination,low,no,already-registered
L11,c'est où ?,chunk-c-est-ou,,owned inventory (carryover pool),Carryover,owned since L8; available for recombination,low,no,already-registered
L11,où,adverb-ou-where,,owned inventory (carryover pool),Carryover,owned since L8; available for recombination,low,no,already-registered
L11,c'est,chunk-c-est,,owned inventory (carryover pool),Carryover,owned since L8; available for recombination,low,no,already-registered
L11,pause,noun-pause,,owned inventory (carryover pool),Carryover,owned since L9; available for recombination,low,no,already-registered
L12,Bonjour,chunk-bonjour,,owned inventory (carryover pool),Carryover,owned since L0; available for recombination,low,no,already-registered
L12,je voudrais,chunk-je-voudrais,,owned inventory (carryover pool),Carryover,owned since L0; available for recombination,low,no,already-registered
L12,café,noun-cafe,,owned inventory (carryover pool),Carryover,owned since L0; available for recombination,low,no,already-registered
L12,merci,chunk-merci,,owned inventory (carryover pool),Carryover,owned since L1; available for recombination,low,no,already-registered
L12,je suis,chunk-je-suis,,owned inventory (carryover pool),Carryover,owned since L2; available for recombination,low,no,already-registered
L12,je suis ici,chunk-je-suis-ici,,owned inventory (carryover pool),Carryover,owned since L2; available for recombination,low,no,already-registered
L12,non,chunk-non,,owned inventory (carryover pool),Carryover,owned since L3; available for recombination,low,no,already-registered
L12,oui,chunk-oui,,owned inventory (carryover pool),Carryover,owned since L3; available for recombination,low,no,already-registered
L12,je ne suis pas,chunk-je-ne-suis-pas,,owned inventory (carryover pool),Carryover,owned since L3; available for recombination,low,no,already-registered
L12,ce n'est pas,chunk-ce-n-est-pas,,owned inventory (carryover pool),Carryover,owned since L3; available for recombination,low,no,already-registered
L12,non merci,chunk-non-merci,,owned inventory (carryover pool),Carryover,owned since L3; available for recombination,low,no,already-registered
L12,j'ai,chunk-j-ai,,owned inventory (carryover pool),Carryover,owned since L4; available for recombination,low,no,already-registered
L12,j'ai faim,chunk-j-ai-faim,,owned inventory (carryover pool),Carryover,owned since L4; available for recombination,low,no,already-registered
L12,j'ai une question,chunk-j-ai-une-question,,owned inventory (carryover pool),Carryover,owned since L4; available for recombination,low,no,already-registered
L12,question,noun-question,,owned inventory (carryover pool),Carryover,owned since L4; available for recombination,low,no,already-registered
L12,un café,chunk-un-cafe,,owned inventory (carryover pool),Carryover,owned since L5; available for recombination,low,no,already-registered
L12,une question,chunk-une-question,,owned inventory (carryover pool),Carryover,owned since L5; available for recombination,low,no,already-registered
L12,au revoir,chunk-au-revoir,,owned inventory (carryover pool),Carryover,owned since L6; available for recombination,low,no,already-registered
L12,je vais,chunk-je-vais,,owned inventory (carryover pool),Carryover,owned since L7; available for recombination,low,no,already-registered
L12,à la maison,chunk-a-la-maison,,owned inventory (carryover pool),Carryover,owned since L7; available for recombination,low,no,already-registered
L12,c'est où ?,chunk-c-est-ou,,owned inventory (carryover pool),Carryover,owned since L8; available for recombination,low,no,already-registered
L12,où,adverb-ou-where,,owned inventory (carryover pool),Carryover,owned since L8; available for recombination,low,no,already-registered
L12,pause,noun-pause,,owned inventory (carryover pool),Carryover,owned since L9; available for recombination,low,no,already-registered
L12,aider,verb-aider,,owned inventory (carryover pool),Carryover,owned since L11; available for recombination,low,no,already-registered
L13,Bonjour,chunk-bonjour,,owned inventory (carryover pool),Carryover,owned since L0; available for recombination,low,no,already-registered
L13,je voudrais,chunk-je-voudrais,,owned inventory (carryover pool),Carryover,owned since L0; available for recombination,low,no,already-registered
L13,café,noun-cafe,,owned inventory (carryover pool),Carryover,owned since L0; available for recombination,low,no,already-registered
L13,merci,chunk-merci,,owned inventory (carryover pool),Carryover,owned since L1; available for recombination,low,no,already-registered
L13,je suis,chunk-je-suis,,owned inventory (carryover pool),Carryover,owned since L2; available for recombination,low,no,already-registered
L13,je suis ici,chunk-je-suis-ici,,owned inventory (carryover pool),Carryover,owned since L2; available for recombination,low,no,already-registered
L13,non,chunk-non,,owned inventory (carryover pool),Carryover,owned since L3; available for recombination,low,no,already-registered
L13,oui,chunk-oui,,owned inventory (carryover pool),Carryover,owned since L3; available for recombination,low,no,already-registered
L13,je ne suis pas,chunk-je-ne-suis-pas,,owned inventory (carryover pool),Carryover,owned since L3; available for recombination,low,no,already-registered
L13,ce n'est pas,chunk-ce-n-est-pas,,owned inventory (carryover pool),Carryover,owned since L3; available for recombination,low,no,already-registered
L13,non merci,chunk-non-merci,,owned inventory (carryover pool),Carryover,owned since L3; available for recombination,low,no,already-registered
L13,j'ai,chunk-j-ai,,owned inventory (carryover pool),Carryover,owned since L4; available for recombination,low,no,already-registered
L13,j'ai faim,chunk-j-ai-faim,,owned inventory (carryover pool),Carryover,owned since L4; available for recombination,low,no,already-registered
L13,j'ai une question,chunk-j-ai-une-question,,owned inventory (carryover pool),Carryover,owned since L4; available for recombination,low,no,already-registered
L13,question,noun-question,,owned inventory (carryover pool),Carryover,owned since L4; available for recombination,low,no,already-registered
L13,un café,chunk-un-cafe,,owned inventory (carryover pool),Carryover,owned since L5; available for recombination,low,no,already-registered
L13,une question,chunk-une-question,,owned inventory (carryover pool),Carryover,owned since L5; available for recombination,low,no,already-registered
L13,au revoir,chunk-au-revoir,,owned inventory (carryover pool),Carryover,owned since L6; available for recombination,low,no,already-registered
L13,c'est où ?,chunk-c-est-ou,,owned inventory (carryover pool),Carryover,owned since L8; available for recombination,low,no,already-registered
L13,où,adverb-ou-where,,owned inventory (carryover pool),Carryover,owned since L8; available for recombination,low,no,already-registered
L13,pause,noun-pause,,owned inventory (carryover pool),Carryover,owned since L9; available for recombination,low,no,already-registered
L13,aider,verb-aider,,owned inventory (carryover pool),Carryover,owned since L11; available for recombination,low,no,already-registered
L14,Bonjour,chunk-bonjour,,owned inventory (carryover pool),Carryover,owned since L0; available for recombination,low,no,already-registered
L14,je voudrais,chunk-je-voudrais,,owned inventory (carryover pool),Carryover,owned since L0; available for recombination,low,no,already-registered
L14,café,noun-cafe,,owned inventory (carryover pool),Carryover,owned since L0; available for recombination,low,no,already-registered
L14,s'il vous plaît,chunk-sil-vous-plait,,owned inventory (carryover pool),Carryover,owned since L0; available for recombination,low,no,already-registered
